"Change Billing Address","Ändra faktureringsadress"
"Ship to Multiple Addresses","Leverera till flera adresser"
"Billing Information - %1","Faktureringsinformation - %1"
"Review Order - %1","Granska beställning - %1"
"Total","Summa"
"Total for this address","Totalt för denna adress"
"Shipping Methods","Fraktsätt"
"Edit Address","Redigera adress"
"Edit Billing Address","Redigera faktureringsadress"
"Edit Shipping Address","Redigera leveransadress"
"Create Billing Address","Skapa faktureringsadress"
"Create Shipping Address","Skapa leveransadress"
"Data saving problem","Problem med att spara data"
"We cannot open the overview page.","Vi kan inte öppna översiktssidan."
"Please agree to all Terms and Conditions before placing the order.","Vänligen godkänn köpvillkoren innan du genomför beställningen."
"Order place error","Ett fel uppstod vid hanteringen av din order"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximalt antal tillåtna för frakt till flera adresser är %1"
"Please check shipping address information.","Kontrollera adress och leveransinformation."
"Please check billing address information.","Kontrollera faktureringsadressen."
"Please select shipping methods for all addresses.","Vänligen välj fraktmetoder för alla adresser."
"A payment method is not defined.","En betalningsmetod är inte definierad."
"The requested payment method is not available for multishipping.","Vald betalningsmetod är inte tillgänglig för multishipping."
"Item not found or already ordered","Objektet hittades inte eller redan beställt"
"Please specify a payment method.","Vänligen välj ett betalsätt."
"Please check shipping addresses information.","Kontrollera leveransinformation."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Select Addresses","Välj adresser"
"Shipping Information","Leveransinformation"
"Billing Information","Faktureringsinformation"
"Place Order","Beställ"
"Order Success","Order Success"
"Default Billing","Default Billing"
"Default Shipping","Default Shipping"
"Select Address","Select Address"
"Add New Address","Lägg till ny adress"
"Back to Billing Information","Back to Billing Information"
"Please select a shipping address for applicable items.","Please select a shipping address for applicable items."
"Product","Produkt"
"Qty","Antal"
"Send To","Send To"
"A shipping selection is not applicable.","A shipping selection is not applicable."
"Actions","Åtgärder"
"Remove Item","Ta bort Artikel"
"Remove item","Ta bort artikel"
"Go to Shipping Information","Go to Shipping Information"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Enter a New Address","Ange en ny adress"
"Back to Shopping Cart","Back to Shopping Cart"
"Billing Address","Faktureringsadress"
"Change","Ändra"
"Payment Method","Betalningsmetod"
"Go to Review Your Order","Go to Review Your Order"
"Back to Shipping Information","Back to Shipping Information"
"Other items in your order","Other items in your order"
"Edit Items","Edit Items"
"Shipping is not applicable.","Shipping is not applicable."
"Product Name","Produktnamn"
"Check Out with Multiple Addresses","Gå till Kassan med Flera Adresser"
"Address %1 <span>of %2</span>","Address %1 <span>of %2</span>"
"Shipping To","Shipping To"
"Shipping Method","Leveransmetod"
"Incl. Tax","Inkl. Moms"
"Excl. Tax","-Exkl. Moms"
"Order Review","Granska beställning"
"Item","Artikel"
"Edit","Redigera"
"Price","Pris"
"Subtotal","Delsumma"
"Items","Artiklar"
"Grand Total:","Grand Total:"
"Submitting order information...","Submitting order information..."
"Sorry, no quotes are available for this order right now.","Sorry, no quotes are available for this order right now."
"Continue to Billing Information","Fortsätt till Faktureringsinformation"
"Back to Select Addresses","Back to Select Addresses"
"Thank you for your purchase!","Tack för ditt köp!"
"Thanks for your order. We'll email you order details and tracking information.","Thanks for your order. We'll email you order details and tracking information."
"Your order numbers are: ","Your order numbers are: "
"Your order number is: ","Your order number is: "
"Continue Shopping","Fortsätt Handla"
"We can't complete your order because you don't have a payment method set up.","We can't complete your order because you don't have a payment method set up."
"Please choose a payment method.","Välj en betalningsmetod."
"Multishipping Settings Section","Multishipping Settings Section"
"Multishipping Settings","Multishipping Settings"
"Options","Alternativ"
"Allow Shipping to Multiple Addresses","Allow Shipping to Multiple Addresses"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximum Qty Allowed for Shipping to Multiple Addresses"
"Review Order","Review Order"
"Select Shipping Method","Välj fraktsätt"
"The order was not successful!","The order was not successful!"
"Ship to:","Leverera till:"
"Error:","Fel:"
"We are unable to process your request. Please, try again later.","We are unable to process your request. Please, try again later."
"Quote address for failed order ID %1"" not found.""","Quote address for failed order ID %1"" not found."""
"The current cart does not match multi shipping criteria, please review or contact the store administrator","The current cart does not match multi shipping criteria, please review or contact the store administrator"
