"Terms and Conditions","Regler och Villkor"
"Add New Condition","Lägga till nytt villkor"
"Save Condition","Spara Regelvillkor"
"Delete Condition","Ta bort Villkoret"
"Edit Terms and Conditions","Editera Allmänna Villkor"
"New Terms and Conditions","Allmänna villkor"
"Terms and Conditions Information","Information om Allmänna Villkor"
"Condition Name","Villkor"
"Status","Status"
"Enabled","Aktiverad"
"Disabled","Inaktiverad"
"Show Content as","Visa innehåll som"
"Text","Text"
"HTML","HTML"
"Applied","Tillämpas"
"Store View","Butiksvy"
"Checkbox Text","Checkbox Text"
"Content","Innehåll"
"Content Height (css)","Innehållets höjd (css)"
"Content Height","Innehållets höjd"
"ID","ID"
"Condition","Villkor"
"Sales","Försäljning"
"Checkout Conditions","Alternativ för Kassan"
"Checkout Terms and Conditions","Allmänna villkor för checkout"
"This condition no longer exists.","Detta villkor existerar inte längre."
"You deleted the condition.","Du bort villkoret."
"Something went wrong  while deleting this condition.","Något gick fel vid raderingen av det här villkoret."
"Edit Condition","Redigera villkor"
"New Condition","Nytt villkor"
"You saved the condition.","Du har sparat villkoret."
"Something went wrong while saving this condition.","Något gick fel vid sparandet av det här villkoret."
"Automatically","Automatiskt"
"Manually","Manuellt"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Close","Stäng"
"Terms & Conditions","Köpvillkor"
"Enable Terms and Conditions","Aktivera löpvillkor"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The ""%1"" checkout agreement couldn't be saved.","The ""%1"" checkout agreement couldn't be saved."
"The ""%1"" checkout agreement couldn't be removed.","The ""%1"" checkout agreement couldn't be removed."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again."
