"Terms and Conditions","Условия и соглашения"
"Add New Condition","Добавить новое условие"
"Save Condition","Сохранить условие"
"Delete Condition","Удалить условие"
"Edit Terms and Conditions","Редактировать Условия и Соглашения"
"New Terms and Conditions","Новые Условия и Соглашения"
"Terms and Conditions Information","Terms and Conditions Information"
"Condition Name","Condition Name"
"Status","Статус"
"Enabled","Включено"
"Disabled","Отключено"
"Show Content as","Show Content as"
"Text","Текст"
"HTML","HTML"
"Applied","Applied"
"Store View","Представление магазина"
"Checkbox Text","Checkbox Text"
"Content","Контент"
"Content Height (css)","Content Height (css)"
"Content Height","Content Height"
"ID","Идентификатор"
"Condition","Условие"
"Sales","Продажи"
"Checkout Conditions","Checkout Conditions"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"This condition no longer exists.","This condition no longer exists."
"You deleted the condition.","You deleted the condition."
"Something went wrong  while deleting this condition.","Something went wrong  while deleting this condition."
"Edit Condition","Изменить условие"
"New Condition","Новое состояние"
"You saved the condition.","You saved the condition."
"Something went wrong while saving this condition.","Something went wrong while saving this condition."
"Automatically","Автоматически"
"Manually","Вручную"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Close","Закрыть"
"Terms & Conditions","Сроки и Условия"
"Enable Terms and Conditions","Enable Terms and Conditions"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The ""%1"" checkout agreement couldn't be saved.","The ""%1"" checkout agreement couldn't be saved."
"The ""%1"" checkout agreement couldn't be removed.","The ""%1"" checkout agreement couldn't be removed."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again."
