"Terms and Conditions","Algemene Voorwaarden"
"Add New Condition","Nieuwe voorwaarde toevoegen"
"Save Condition","Algemene Voorwaarden opslaan"
"Delete Condition","Voorwaarde verwijderen"
"Edit Terms and Conditions","Algemene Voorwaarden bewerken"
"New Terms and Conditions","Nieuwe voorwaarden"
"Terms and Conditions Information","Informatie over Algemene Voorwaarden"
"Condition Name","Naam van voorwaarde"
"Status","status"
"Enabled","Ingeschakeld"
"Disabled","Uitgeschakeld"
"Show Content as","Inhoud tonen als"
"Text","Tekst"
"HTML","HTML"
"Applied","Toegepast"
"Store View","Winkelaanzicht"
"Checkbox Text","Tekst checkbox"
"Content","inhoud"
"Content Height (css)","Hoogte inhoud (css)"
"Content Height","Hoogte inhoud"
"ID","ID"
"Condition","conditie"
"Sales","Verkopen"
"Checkout Conditions","Betalingsvoorwaarden"
"Checkout Terms and Conditions","Algemene Voorwaarden Afrekenen"
"This condition no longer exists.","Deze conditie bestaat niet langer meer"
"You deleted the condition.","De Algemene Voorwaarden zijn verwijderd."
"Something went wrong  while deleting this condition.","Er ging iets fout tijdens het verwijderen van deze Algemene Voorwaarden."
"Edit Condition","Wijzig conditie"
"New Condition","Nieuwe Algemene Voorwaarden"
"You saved the condition.","Algemene Voorwaarden opgeslagen."
"Something went wrong while saving this condition.","Er ging iets fout bij het opslaan van deze Algemene Voorwaarden."
"Automatically","Automatisch"
"Manually","Handmatig"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Close","Sluiten"
"Terms & Conditions","Algemene voorwaarden"
"Enable Terms and Conditions","Algemene Voorwaarden activeren"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","De bestelling is niet geplaatst. Ga eerst akkoord met de algemene voorwaarden, probeer dan opnieuw uw bestelling te plaatsen."
"The ""%1"" checkout agreement couldn't be saved.","De ""%1"" checkout overeenkomst kon niet worden opgeslagen."
"The ""%1"" checkout agreement couldn't be removed.","De ""%1"" checkout overeenkomst kon niet verwijderd worden."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","Een checkout overeenkomst met de ""%1"" opgegeven ID is niet gevonden. Controleer het ID en probeer het opnieuw."
