"Terms and Conditions","Syarat dan ketentuan"
"Add New Condition","Tambahkan Kondisi Baru"
"Save Condition","Simpan Kondisi"
"Delete Condition","Hapus Kondisi"
"Edit Terms and Conditions","Edit Syarat dan Ketentuan"
"New Terms and Conditions","Syarat dan Ketentuan Baru"
"Terms and Conditions Information","Informasi Syarat dan Ketentuan"
"Condition Name","Nama Kondisi"
"Status","Keadaan"
"Enabled","Diaktifkan"
"Disabled","Matikan"
"Show Content as","Tampilkan Konten sebagai"
"Text","Teks"
"HTML","HTML"
"Applied","Terapan"
"Store View","Tampilan toko"
"Checkbox Text","Teks kotak centang"
"Content","Konten"
"Content Height (css)","Tinggi Konten (css)"
"Content Height","Ketinggian Konten"
"ID","Nomor"
"Condition","Kondisi"
"Sales","Penjual"
"Checkout Conditions","Periksa Kondisi"
"Checkout Terms and Conditions","Syarat Dan ketentuan checkout"
"This condition no longer exists.","Kondisi ini sudah tidak ada lagi."
"You deleted the condition.","Anda menghapus kondisinya."
"Something went wrong  while deleting this condition.","Ada yang tidak beres saat menghapus kondisi ini."
"Edit Condition","Edit Kondisi"
"New Condition","Kondisi baru"
"You saved the condition.","Anda menyimpan kondisinya."
"Something went wrong while saving this condition.","Ada yang tidak beres saat menyimpan kondisi ini."
"Automatically","Secara otomatis"
"Manually","Secara manual"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Close","Tutup"
"Terms & Conditions","Syarat & Ketentuan"
"Enable Terms and Conditions","Aktifkan Persyaratan dan Ketentuan"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The ""%1"" checkout agreement couldn't be saved.","The ""%1"" checkout agreement couldn't be saved."
"The ""%1"" checkout agreement couldn't be removed.","The ""%1"" checkout agreement couldn't be removed."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again."
