"Close","關閉"
"options","選項"
"Select all","全部選取"
"Deselect all","取消全選"
"Cancel","取消"
"Done","完成"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Show"
"per page","per page"
"Please Select","請選擇"
"%s of %s selected","%s %s 已選中"
"Search by keyword","Search by keyword"
"This is a required field.","This is a required field."
"B2B Features","B2B 特點"
