"Close","Закрыть"
"options","параметры"
"Select all","Выбрать все"
"Deselect all","Отменить весь выбор"
"Cancel","Отмена"
"Done","Выполнено"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Show"
"per page","per page"
"Please Select","Выберите"
"%s of %s selected","%s из %s выбран"
"Search by keyword","Search by keyword"
"This is a required field.","This is a required field."
"B2B Features","Особенности B2B"
