"Close","Lukk"
"options","innstillinger"
"Select all","Velg alle"
"Deselect all","Opphev merking"
"Cancel","Avbryt"
"Done","Utført"
"Selected","Selected"
"We couldn't find any records.","Vi kunne ikke finne noen poster."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Vis"
"per page","per side"
"Please Select","Vennligst velg"
"%s of %s selected","%s av %s valgt"
"Search by keyword","Søk etter nøkkelord"
"This is a required field.","Dette er et obligatorisk felt."
"B2B Features","B2B-funksjoner"
