"Close","Lukk"
"options","innstillinger"
"Select all","Velg alle"
"Deselect all","Opphev merking"
"Cancel","Avbryt"
"Done","Utført"
"Selected","Valgt"
"We couldn't find any records.","Vi kunne ikke finne noen poster."
" Item(s)"," Produkt(er)"
"Items ","Produkter "
" to "," til "
" of "," av "
" total"," total"
"Page","Side"
"Previous","Forrige"
"You're currently reading page","Du leser for øyeblikket siden"
"Next","Neste"
"Show","Vis"
"per page","per side"
"Please Select","Vennligst velg"
"%s of %s selected","%s av %s valgt"
"Search by keyword","Søk etter nøkkelord"
"This is a required field.","Dette er et obligatorisk felt."
"B2B Features","B2B-funksjoner"
