"Close","Fermer"
"options","options"
"Select all","Tout sélectionner"
"Deselect all","Tout désélectionner"
"Cancel","Annuler"
"Done","Fait"
"Selected","Sélectionné"
"We couldn't find any records.","Nous n'avons pu trouvé aucun enregistrement."
" Item(s)"," Article(s)"
"Items ","Articles "
" to "," à "
" of "," sur "
" total"," total"
"Page","Page"
"Previous","Précédent"
"You're currently reading page","Vous lisez actuellement la page"
"Next","Suivant"
"Show","Afficher"
"per page","par page"
"Please Select","Veuillez sélectionner"
"%s of %s selected","%s de %s sélectionné(s)"
"Search by keyword","Recherche par mots clés"
"This is a required field.","C'est un champ obligatoire."
"B2B Features","Fonctionnalités B2B"
