"Close","ปิด"
"options","ตัวเลือก"
"Select all","เลือกทั้งหมด"
"Deselect all","ไม่เลือกทั้งหมด"
"Cancel","ยกเลิก"
"Done","เสร็จสิ้น"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","แสดง"
"per page","per page"
"Please Select","กรุณาเลือก"
"%s of %s selected","เลือก %s จาก %s"
"Search by keyword","Search by keyword"
"This is a required field.","นี่คือข้อมูลที่จำเป็น"
"B2B Features","B2B คุณสมบัติ"
