"Close","إغلاق"
"options","الخيارات"
"Select all","إختيار الكل"
"Deselect all","إزالة كل الإختيارات"
"Cancel","إلغاء"
"Done","انتهى"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","عرض"
"per page","بالصفحة"
"Please Select","أختر من فضلك"
"%s of %s selected","تم تحديد %s من %s"
"Search by keyword","Search by keyword"
"This is a required field.","This is a required field."
"B2B Features","ميزات B2B"
