"Close","ಮುಚ್ಚಿರಿ"
"options","ಆಯ್ಕೆಗಳು"
"Select all","ಎಲ್ಲವನ್ನೂ ಆರಿಸು"
"Deselect all","Deselect all"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Done","ಮುಗಿದಿದೆ"
"Selected","Selected"
"We couldn't find any records.","ನಮಗೆ ಯಾವುದೇ ದಾಖಲೆಗಳು ಕಂಡುಬಂದಿಲ್ಲ."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","ಪ್ರದರ್ಶಿಸಿ"
"per page","ಪ್ರತಿ ಪುಟಕ್ಕೆ"
"Please Select","ದಯವಿಟ್ಟು ಆರಿಸಿ"
"%s of %s selected","%s ರಲ್ಲಿ %s ಆರಿಸಲಾಗಿದೆ"
"Search by keyword","ಮುಖ್ಯಪದದ ಆಧಾರದಲ್ಲಿ ಹುಡುಕಿ"
"This is a required field.","ಇದು ಅಗತ್ಯವಿರುವ ವಲಯ."
"B2B Features","B2B ಲಕ್ಷಣಗಳು"
