"Close","Aizvērt"
"options","opcijas"
"Select all","Atlasīt visu"
"Deselect all","Atcelt visu atlasi"
"Cancel","Atcelt"
"Done","Gatavs"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Show"
"per page","per page"
"Please Select","Lūdzu izvēlieties"
"%s of %s selected","Atlasīti %s no %s"
"Search by keyword","Search by keyword"
"This is a required field.","This is a required field."
"B2B Features","B2B funkcijas"
