"Close","Luk"
"options","valgmuligheder"
"Select all","Vælg alle"
"Deselect all","Fravælg alle"
"Cancel","Annuller"
"Done","Udført"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Show"
"per page","per page"
"Please Select","Vælg venligst"
"%s of %s selected","%s af %s valgt"
"Search by keyword","Search by keyword"
"This is a required field.","Dette er et obligatorisk felt."
"B2B Features","B2B funktioner"
