"Close","Schließen"
"options","Optionen"
"Select all","Alle auswählen"
"Deselect all","Alle abwählen"
"Cancel","Stornieren"
"Done","Fertig"
"Selected","Selected"
"We couldn't find any records.","Es wurden keine Einträge gefunden."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Anzeigen"
"per page","pro Seite"
"Please Select","Bitte wählen"
"%s of %s selected","%s von %s ausgewählt"
"Search by keyword","Suche nach Schlagwort"
"This is a required field.","Dies ist ein Pflichtfeld."
"B2B Features","B2B Funktionen"
