"Close","Sulje"
"options","asetukset"
"Select all","Valitse kaikki"
"Deselect all","Poista kaikki valinnat"
"Cancel","Peruuta"
"Done","Valmis"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Sivu"
"Previous","Edellinen"
"You're currently reading page","Luet tällä hetkellä sivua"
"Next","Seuraava"
"Show","Näytä"
"per page","per sivu"
"Please Select","Valitse"
"%s of %s selected","%s / %s valittuna"
"Search by keyword","Search by keyword"
"This is a required field.","Tämä on pakollinen kenttä."
"B2B Features","B2B ominaisuudet"
