"Close","关闭"
"options","选项"
"Select all","选择全部"
"Deselect all","取消全选"
"Cancel","取消"
"Done","完成"
"Selected","Selected"
"We couldn't find any records.","我们找不到任何记录。"
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","显示"
"per page","每页"
"Please Select","请选择"
"%s of %s selected","%s %s 已选中"
"Search by keyword","按关键字搜索"
"This is a required field.","这是必填字段。"
"B2B Features","B2B 特点"
