"Close","അടയ്ക്കുക"
"options","ഓപ്ഷനുകൾ"
"Select all","എല്ലാം തിരഞ്ഞെടുക്കുക"
"Deselect all","തിരഞ്ഞെടുത്ത എല്ലാം മായ്ക്കുക"
"Cancel","റദ്ദാക്കുക"
"Done","കഴിഞ്ഞിരിക്കുന്നു"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Show"
"per page","per page"
"Please Select","ദയവായി തിരഞ്ഞെടുക്കുക"
"%s of %s selected","%s ന്റെ %s തിരഞ്ഞെടുത്തു"
"Search by keyword","Search by keyword"
"This is a required field.","This is a required field."
"B2B Features","ബി 2 ബി സവിശേഷതകൾ"
