"Close","Zatvori"
"options","opcije"
"Select all","Izaberi sve"
"Deselect all","Poništi sve izabrane"
"Cancel","Odustani"
"Done","Gotovo"
"Selected","Izabrano"
"We couldn't find any records.","Nismo pronašli ni jedan zapis."
" Item(s)"," Stavke"
"Items ","Stavke "
" to "," do "
" of "," od "
" total"," ukupno"
"Page","Stranica"
"Previous","Prethodni"
"You're currently reading page","Trenutno čitate stranicu"
"Next","Sledeći"
"Show","Prikaži"
"per page","po stranici"
"Please Select","Molim odaberite"
"%s of %s selected","%s od %s izabrano"
"Search by keyword","Traži po ključnoj reči"
"This is a required field.","Ovo polje je neophodno."
"B2B Features","B2B Karakteristike"
