"Close","סגור"
"options","אפשרויות"
"Select all","בחר הכל"
"Deselect all","בטל בחירה של הכל"
"Cancel","ביטול"
"Done","בוצע"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Show"
"per page","per page"
"Please Select","נא לבחור"
"%s of %s selected","%s מתוך %s נבחר"
"Search by keyword","Search by keyword"
"This is a required field.","This is a required field."
"B2B Features","תכונות B2B"
