"Close","بستن"
"options","گزینه ها"
"Select all","انتخاب همه"
"Deselect all","لغو انتخاب همه موارد"
"Cancel","لغو"
"Done","انجام شد"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," به "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","بعدی"
"Show","نمایش"
"per page","در هر صفحه"
"Please Select","لطفا انتخاب نمایید"
"%s of %s selected","%s از %s انتخاب شد"
"Search by keyword","جستجو با کلیدواژه"
"This is a required field.","این فیلد الزامی است."
"B2B Features","ویژگی های B2B"
