"Close","Κλείσιμο"
"options","επιλογές"
"Select all","Επιλογή όλων"
"Deselect all","Αποεπιλογή όλων"
"Cancel","Άκυρο"
"Done","Επιτυχής"
"Selected","Selected"
"We couldn't find any records.","Δεν βρέθηκαν εγγραφές."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Εμφάνιση"
"per page","ανά σελίδα"
"Please Select","Παρακαλώ Επιλέξτε"
"%s of %s selected","%s από %s επιλεγμένα"
"Search by keyword","Αναζήτηση με λέξη-κλειδί"
"This is a required field.","Αυτό είναι ένα υποχρεωτικό πεδίο."
"B2B Features","Δυνατότητες B2B"
