"Close","Închide"
"options","opțiuni"
"Select all","Selecteaza tot"
"Deselect all","Deselecteaza tot"
"Cancel","Anulare"
"Done","Efectuat"
"Selected","Selectat"
"We couldn't find any records.","Nu am putut găsi înregistrări."
" Item(s)"," Articol(e)"
"Items ","Articole "
" to "," către "
" of "," din "
" total"," total"
"Page","Pagina"
"Previous","Anterior"
"You're currently reading page","Acum citești pagina"
"Next","Următorul"
"Show","Arată"
"per page","pe pagină"
"Please Select","Vă rugăm să selectați"
"%s of %s selected","%s din %s selectat"
"Search by keyword","Căutare după cuvânt cheie"
"This is a required field.","Acesta este un câmp obligatoriu."
"B2B Features","Caracteristici B2B"
