"Close","閉じる"
"options","オプション"
"Select all","全て選択"
"Deselect all","全ての選択を外す"
"Cancel","キャンセル"
"Done","完了"
"Selected","Selected"
"We couldn't find any records.","レコードが見つかりませんでした"
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","表示"
"per page","件"
"Please Select","選択してください"
"%s of %s selected","%s の %s が選択されました"
"Search by keyword","キーワードで検索"
"This is a required field.","必須項目です"
"B2B Features","B2B機能"
