"Close","닫기"
"options","옵션"
"Select all","모두 선택"
"Deselect all","선택 모두 취소"
"Cancel","취소"
"Done","완료"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Show"
"per page","per page"
"Please Select","선택하세요"
"%s of %s selected","%s 중 %s 선택 됨"
"Search by keyword","Search by keyword"
"This is a required field.","This is a required field."
"B2B Features","B2B 기능"
