"Close","Затвори"
"options","опции"
"Select all","Избери всички"
"Deselect all","Откажи всички"
"Cancel","Отказ"
"Done","Готово"
"Selected","Избрани"
"We couldn't find any records.","Не открихме никакви записи."
" Item(s)"," Запис(и)"
"Items ","Записи "
" to "," до "
" of "," от "
" total"," общо"
"Page","Страница"
"Previous","Назад"
"You're currently reading page","В момента четете страница"
"Next","Напред"
"Show","Покажи"
"per page","на страница"
"Please Select","Моля изберете"
"%s of %s selected","%s от %s избрани"
"Search by keyword","Търсене по ключова дума"
"This is a required field.","Това поле е задължително."
"B2B Features","B2B функции"
