"Close","Sluiten"
"options","opties"
"Select all","Alles selecteren"
"Deselect all","Alles deselecteren"
"Cancel","Annuleer"
"Done","Gereed"
"Selected","Geselecteerd"
"We couldn't find any records.","We konden geen records vinden."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," tot "
" of "," van "
" total"," totaal"
"Page","Pagina"
"Previous","Vorige"
"You're currently reading page","U leest momenteel pagina"
"Next","Volgende"
"Show","Weergeven"
"per page","per pagina"
"Please Select","Selecteer"
"%s of %s selected","%s van %s geselecteerd"
"Search by keyword","Zoeken op trefwoord"
"This is a required field.","Dit is een verplicht veld."
"B2B Features","B2B functies"
