"Close","બંધ"
"options","વિકલ્પો"
"Select all","બધા પસંદ કરો"
"Deselect all","બધા નાપસંદ કરો"
"Cancel","રદ કરો"
"Done","પૂર્ણ"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Show"
"per page","per page"
"Please Select","કૃપા કરી પસંદ કરો"
"%s of %s selected","%s પસંદ કરેલ %s માંથી"
"Search by keyword","Search by keyword"
"This is a required field.","This is a required field."
"B2B Features","બી2બી લક્ષણો"
