"Product View Optimization","Produktansicht-Optimierung"
"Page View Optimization","Optimierung der Seitenansicht"
"Data key is missing: %1","Datenschlüssel fehlt: %1"
"Google Analytics Content Experiments Code","Google Analytics Content Experments Code"
"Experiment Code","Versuchs-Code"
"Experiment code should be added to the original page only.","Versuchs-Code sollte ausschließlich der Original-Seite hinzugefügt werden."
"Enable Content Experiments","Content-Tests aktivieren"
"Category View Optimization","Optimierung der Kategorie-Ansicht"
