"Save & Generate","ಉಳಿಸಿ & ಉತ್ಪಾದಿಸಿ"
"Edit Sitemap","ವಸ್ತುವನ್ನು ಸಂಪಾದಿಸಿ"
"New Sitemap","New Sitemap"
"Sitemap Information","Sitemap Information"
"Sitemap","Sitemap"
"Filename","Filename"
"example: sitemap.xml","ಉದಾಹರಣೆ: sitemap.xml"
"Path","ಪಥ"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Generate","ಉತ್ಪಾದಿಸಿ"
"XML Sitemap","XML Sitemap"
"Add Sitemap","Add Sitemap"
"Catalog","Catalog"
"You deleted the sitemap.","You deleted the sitemap."
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"This sitemap no longer exists.","This sitemap no longer exists."
"Site Map","Site Map"
"New Site Map","New Site Map"
"The sitemap ""%1"" has been generated.","The sitemap ""%1"" has been generated."
"We can't generate the sitemap right now.","We can't generate the sitemap right now."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"You saved the sitemap.","You saved the sitemap."
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"Always","ಯಾವಾಗಲೂ"
"Hourly","ಪ್ರತಿ ಘಂಟೆಗೆ"
"Daily","ದೈನಿಕ"
"Weekly","ಸಾಪ್ತಾಹಿಕ"
"Monthly","ಮಾಸಿಕ"
"Yearly","ವಾರ್ಷಿಕ"
"Never","ಎಂದಿಗೂ ಇಲ್ಲ"
"File handler unreachable","File handler unreachable"
"Please define a correct path.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಪಥವನ್ನು ನಮೂದಿಸಿ."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","ದಯವಿಟ್ಟು ಅಕ್ಷರ (a-z or A-Z) ಗಳನ್ನು ಅಥವಾ ಅಂಕೆಗಳನ್ನು (0-9) ಮಾತ್ರ ಈ ವಲಯದೊಳಗೆ ಬಳಸಿ. ಖಾಲಿಜಾಗೆ ಅಥವಾ ಇತರ ಅಕ್ಷರಗಳನ್ನು ನಿರ್ಬಂಧಿಸಿದೆ."
"None","ಯಾವುದೂ ಇಲ್ಲ"
"Base Only","Base Only"
"All","ಎಲ್ಲಾ"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Sitemap Generation Warnings","Sitemap Generation Warnings"
"XML Sitemap Section","XML Sitemap Section"
"Categories Options","ವಿಭಾಗಗಳ ಆಯ್ಕೆಗಳು"
"Frequency","ಆವರ್ತನ"
"Priority","ಆದ್ಯತೆ"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","ಉತ್ಪನ್ನದ ಆಯ್ಕೆಗಳು"
"Add Images into Sitemap","Add Images into Sitemap"
"CMS Pages Options","CMS Pages Options"
"Generation Settings","ಉತ್ಪಾದನೆ ಸಂಯೋಜನೆಗಳು"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","ದೋಷ ಮಿಂಚೆ ರವಾನೆದಾರ"
"Error Email Template","ದೋಷ ಮಿಂಚೆಯ ಮಾದರಿ"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Start Time","ಪ್ರಾರಂಭದ ಸಮಯ"
"Sitemap File Limits","Sitemap File Limits"
"Maximum No of URLs Per File","Maximum No of URLs Per File"
"Maximum File Size","ಕಡತದ ಗರಿಷ್ಟ ಗಾತ್ರ"
"File size in bytes.","File size in bytes."
"Search Engine Submission Settings","Search Engine Submission Settings"
"Enable Submission to Robots.txt","Enable Submission to Robots.txt"
"ID","ID"
"Link for Google","Link for Google"
"Last Generated","Last Generated"
"Action","ಕ್ರಿಯೆ"
