"Save & Generate","Simpan & hasilkan"
"Edit Sitemap","Ubah situs peta"
"New Sitemap","Situs peta baru"
"Sitemap Information","Informasi sitemap"
"Sitemap","Situ peta"
"Filename","Nama berkas"
"example: sitemap.xml","contoh: sitemap.xml"
"Path","Rute"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Tampilan toko"
"Generate","Pembuatan"
"XML Sitemap","XML Sitemap"
"Add Sitemap","Tambah sitemap"
"Catalog","Katalog"
"You deleted the sitemap.","Anda menghapus sitemap."
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"This sitemap no longer exists.","Situs map ini tidak ada lagi."
"Site Map","Situs map"
"New Site Map","Situs map baru"
"The sitemap ""%1"" has been generated.","Sitemap ""%1"" sudah dihasilkan."
"We can't generate the sitemap right now.","We can't generate the sitemap right now."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"You saved the sitemap.","Anda menyimpan sitemap."
"The priority must be between 0 and 1.","Prioritas harus berada diantara 0 dan 1."
"Always","Selalu"
"Hourly","Sejam"
"Daily","Harian"
"Weekly","Mingguan"
"Monthly","Bulanan"
"Yearly","Tahunan"
"Never","Jangan pernah"
"File handler unreachable","Berkas handler tidak terjangkau"
"Please define a correct path.","Harap tetapkan rute yang benar."
"Please create the specified folder ""%1"" before saving the sitemap.","Harap buat folder tertentu sebelum ""%1"" sebelum menyimpan sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Harap pastikan bahwa ""%1"" dapat ditulis dengan web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Harap gunakan hanya huruf (a-z atau A-Z), angka (0-9) atau garis bawah (_) pada nama file. Tidak ada spasi atau karakter lain yang diizinkan."
"None","Kosong"
"Base Only","Hanya dasar"
"All","Semua"
"Sitemap generate Warnings","Peringatan umum sitemap"
"Sitemap Generation Warnings","Peringatan umum sitemap"
"XML Sitemap Section","Sesi XML Sitemap"
"Categories Options","Pilihan kategori"
"Frequency","Frekuensi"
"Priority","Prioritas"
"Valid values range from 0.0 to 1.0.","Nilai yang valid berkisar antara 0,0 sampai 1.0."
"Products Options","Pilihan produk"
"Add Images into Sitemap","Tambahkan Gambar ke dalam sitemap"
"CMS Pages Options","Pilihan halaman CMS"
"Generation Settings","Pengaturan umum"
"Enabled","Diaktifkan"
"Error Email Recipient","Kesalahan Email Penerima"
"Error Email Sender","Kesalahan Email Pengirim"
"Error Email Template","Kesalahan Template Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template yang dipilih berdasarkan tema mundur ketika ""Default"" opsi yang dipilih."
"Start Time","Waktu mulai"
"Sitemap File Limits","Batas berkas sitemap"
"Maximum No of URLs Per File","Maksimum No URL per berkas"
"Maximum File Size","Ukuran berkas maksimum"
"File size in bytes.","Ukuran berkas dalam satuan byte."
"Search Engine Submission Settings","Pengaturan Mesin pencari submission"
"Enable Submission to Robots.txt","Aktifkan submission ke Robots.txt"
"ID","Nomor"
"Link for Google","Link untuk google"
"Last Generated","Terakhir Dihasilkan"
"Action","Tindakan"
