"Save & Generate","保存して生成"
"Edit Sitemap","サイトマップ編集"
"New Sitemap","新しいサイトマップ"
"Sitemap Information","サイトマップ情報"
"Sitemap","サイトマップ"
"Filename","ファイル名"
"example: sitemap.xml","例: sitemap.xml"
"Path","パス"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","ストアビュー"
"Generate","生成"
"XML Sitemap","XML サイトマップ"
"Add Sitemap","サイトマップを追加"
"Catalog","カタログ"
"You deleted the sitemap.","サイトマップを削除しました"
"We can't find a sitemap to delete.","削除するサイトマップが見つかりません"
"This sitemap no longer exists.","サイトマップは存在していません。"
"Site Map","サイトマップ"
"New Site Map","新しいサイトマップ"
"The sitemap ""%1"" has been generated.","サイトマップ ""%1"" が生成されました"
"We can't generate the sitemap right now.","現在サイトマップを作成できません"
"We can't find a sitemap to generate.","作成するサイトマップが見つかりません"
"You saved the sitemap.","サイトマップを保存しました"
"The priority must be between 0 and 1.","優先順位は0から1の間で指定してください。"
"Always","常に"
"Hourly","1時間ごと"
"Daily","毎日"
"Weekly","週次"
"Monthly","月次"
"Yearly","年ごと"
"Never","まだ"
"File handler unreachable","ファイルハンドラーが不通です"
"Please define a correct path.","正しいパスを定義してください"
"Please create the specified folder ""%1"" before saving the sitemap.","サイトマップを保存する前に、指定されたフォルダ ""%1""を作成してください"
"Please make sure that ""%1"" is writable by the web-server.","""%1"" がウェブサーバーによって書き込み可能であることを確認してください"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","文字 (a-z あるいは A-Z), 数字 (0-9) or アンダースコア (_) のみファイル名には使ってください。 空白や他の文字は使えません。"
"None","なし"
"Base Only","ベースのみ"
"All","全て"
"Sitemap generate Warnings","サイトマップ生成警告"
"Sitemap Generation Warnings","サイトマップ生成警告"
"XML Sitemap Section","XMLサイトマップセクション"
"Categories Options","カテゴリオプション"
"Frequency","頻度"
"Priority","優先度"
"Valid values range from 0.0 to 1.0.","0.0 から 1.0までで有効な値の範囲"
"Products Options","商品オプション"
"Add Images into Sitemap","サイトマップに画像を追加"
"CMS Pages Options","CMSページオプション"
"Generation Settings","生成設定"
"Enabled","有効"
"Error Email Recipient","エラーメール受信者"
"Error Email Sender","エラーメール送信者"
"Error Email Template","エラーメールテンプレート"
"Email template chosen based on theme fallback when ""Default"" option is selected."," ""デフォルト""オプションが選択された時、Eメールのテンプレートはテーマの代替を元に選ばれます。 "
"Start Time","開始時間"
"Sitemap File Limits","サイトマップファイル制限"
"Maximum No of URLs Per File","ファイルごとのURLの最大数"
"Maximum File Size","最大ファイルサイズ"
"File size in bytes.","バイトのファイルサイズ"
"Search Engine Submission Settings","検索エンジン提出設定"
"Enable Submission to Robots.txt","Robots.txtへの提出を可能にする"
"ID","ID"
"Link for Google","Googleへリンク"
"Last Generated","最終作成日"
"Action","アクション"
