"Save & Generate","Зачувај & генерирај"
"Edit Sitemap","Измени ја мапата на сајтот"
"New Sitemap","Нова мапа на сајтот"
"Sitemap Information","Sitemap Information"
"Sitemap","Мапа на сајтот"
"Filename","Filename"
"example: sitemap.xml","example: sitemap.xml"
"Path","Патека"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Store View"
"Generate","Generate"
"XML Sitemap","XML мапа на сајтот"
"Add Sitemap","Додади мапа на сајтот"
"Catalog","Каталог"
"You deleted the sitemap.","Ја избришавте мапата на сајтот."
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"This sitemap no longer exists.","Оваа мапа на сајтот не постои повеќе."
"Site Map","Site Map"
"New Site Map","New Site Map"
"The sitemap ""%1"" has been generated.","Мапата на сајтот ""%1"" е генерирана."
"We can't generate the sitemap right now.","We can't generate the sitemap right now."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"You saved the sitemap.","Ја зачувавте мапата на сајтот."
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"Always","Секогаш"
"Hourly","Hourly"
"Daily","Дневно"
"Weekly","Неделно"
"Monthly","Месечно"
"Yearly","Yearly"
"Never","Never"
"File handler unreachable","File handler unreachable"
"Please define a correct path.","Please define a correct path."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
"None","Нема"
"Base Only","Base Only"
"All","Сите"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Sitemap Generation Warnings","Sitemap Generation Warnings"
"XML Sitemap Section","XML Sitemap Section"
"Categories Options","Categories Options"
"Frequency","Frequency"
"Priority","Приоритет"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","Products Options"
"Add Images into Sitemap","Add Images into Sitemap"
"CMS Pages Options","CMS Pages Options"
"Generation Settings","Generation Settings"
"Enabled","Овозможено"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Start Time","Start Time"
"Sitemap File Limits","Sitemap File Limits"
"Maximum No of URLs Per File","Maximum No of URLs Per File"
"Maximum File Size","Maximum File Size"
"File size in bytes.","File size in bytes."
"Search Engine Submission Settings","Search Engine Submission Settings"
"Enable Submission to Robots.txt","Enable Submission to Robots.txt"
"ID","ID"
"Link for Google","Link for Google"
"Last Generated","Last Generated"
"Action","Акција"
