"Save & Generate","Uložit & Generovat"
"Edit Sitemap","Upravit mapu stránek"
"New Sitemap","Nová mapa stránek"
"Sitemap Information","Údaje mapy stránek"
"Sitemap","Mapa stránek"
"Filename","Název souboru"
"example: sitemap.xml","příklad: sitemap.xml"
"Path","Cesta"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Zobrazení obchodu"
"Generate","Vytvořit"
"XML Sitemap","XML mapa stránek"
"Add Sitemap","Přidat mapu stránek"
"Catalog","Katalog"
"You deleted the sitemap.","Mapa stránek byla odstraněna."
"We can't find a sitemap to delete.","Mapu stránek k odstranění nelze najít."
"This sitemap no longer exists.","Tato mapa stránek již neexistuje"
"Site Map","Mapa stránek"
"New Site Map","Nová mapa stránek"
"The sitemap ""%1"" has been generated.","Mapa stránek ""%1"" byla vygenerována."
"We can't generate the sitemap right now.","Mapu stránek nelze momentálně vygenerovat."
"We can't find a sitemap to generate.","Mapu stránek k generování nelze najít."
"You saved the sitemap.","Mapa stránek byla uložena."
"The priority must be between 0 and 1.","Priorita musí být číslo od 0 do 1."
"Always","Vždy"
"Hourly","Hodinově"
"Daily","Denně"
"Weekly","Týdně"
"Monthly","Měsíčně"
"Yearly","Ročně"
"Never","Nikdy"
"File handler unreachable","Handler soubor je nedostupný"
"Please define a correct path.","Zadejte správnou cestu prosím."
"Please create the specified folder ""%1"" before saving the sitemap.","Před uložením mapy stránek vytvořte požadovaný adresář ""%1""."
"Please make sure that ""%1"" is writable by the web-server.","Ujistěte se, že webový server má do ""%1"" práva k zápisu."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","V názvu souboru používejte pouze písmena (a-z nebo A-Z), číslice (0-9) nebo nebo podtržítka (_). Mezery a jiné znaky nejsou povoleny."
"None","Nic"
"Base Only","Pouze základní"
"All","Vše"
"Sitemap generate Warnings","Mapa stránek generuje upozornění"
"Sitemap Generation Warnings","Upozornění generování mapy stránek"
"XML Sitemap Section","Sekce XML mapa stránek"
"Categories Options","Možnosti kategorií"
"Frequency","Četnost"
"Priority","Priorita"
"Valid values range from 0.0 to 1.0.","Platný rozsah hodnot je od 0.0 do 1.0."
"Products Options","Možnosti produktů"
"Add Images into Sitemap","Přidat obrázky do mapy stránek"
"CMS Pages Options","Možnosti CMS stránek"
"Generation Settings","Nastavení generování"
"Enabled","Zapnuto"
"Error Email Recipient","Příjemce chybového e-mailu"
"Error Email Sender","Odesílatel chybového e-mailu"
"Error Email Template","Šablona chybového e-mailu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová předloha je postavena na záložním tématu."
"Start Time","Čas zahájení"
"Sitemap File Limits","Limity souboru mapy stránek"
"Maximum No of URLs Per File","Maximální počet URL na soubor"
"Maximum File Size","Maximílní velikost souboru"
"File size in bytes.","Velikost souboru v bajtech."
"Search Engine Submission Settings","Nastavení předložení vyhledávačům"
"Enable Submission to Robots.txt","Zapnout předložení v Robots.txt"
"ID","ID"
"Link for Google","Odkaz pro Google"
"Last Generated","Aktualizováno"
"Action","Akce"
