"Save & Generate","Salvați și generați"
"Edit Sitemap","Editare hartă site"
"New Sitemap","Hartă site nouă"
"Sitemap Information","Informații hartă site"
"Sitemap","Harta site-ului"
"Filename","Nume fișier"
"example: sitemap.xml","exemplu: hartăsite.xml"
"Path","Cale"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Vizualizare magazin"
"Generate","Generați"
"XML Sitemap","Hartă site XML"
"Add Sitemap","Adaugă hartă site"
"Catalog","Catalog"
"You deleted the sitemap.","Ați șters harta site-ului."
"We can't find a sitemap to delete.","Nu se găsește nici o hartă a site-ului de șters."
"This sitemap no longer exists.","Harta site-ului nu mai există."
"Site Map","Harta site-ului."
"New Site Map","Hartă site nouă"
"The sitemap ""%1"" has been generated.","Harta site-ului ""%1"" a fost generată."
"We can't generate the sitemap right now.","Nu se poate genera o hartă a site-ului în acest moment."
"We can't find a sitemap to generate.","Nu se poate găsi o hartă de site pentru generare."
"You saved the sitemap.","Ați salvat harta site-ului."
"The priority must be between 0 and 1.","Prioritatea trebuie să fie între 0 și 1."
"Always","întotdeauna"
"Hourly","La fiecare oră"
"Daily","Zilnic"
"Weekly","Săptămânal"
"Monthly","Lunar"
"Yearly","Anual"
"Never","Niciodată"
"File handler unreachable","Manipulant fișier inaccesibil."
"Please define a correct path.","Definiți o cale corectă."
"Please create the specified folder ""%1"" before saving the sitemap.","Creați dosarul specificat ""%1"" înainte de a salva harta site-ului."
"Please make sure that ""%1"" is writable by the web-server.","Asigurați-vă că ""%1"" este inscriptibil de către server-ul web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Folosiți doar litere (a-z sau A-Z), numere (0-9) sau underscore (_) în numele fișierului. Spațiile sau alte caratere nu sunt admise."
"None","Nici unul"
"Base Only","Numai bază"
"All","Toate"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Sitemap Generation Warnings","Avestismente Generație Hartă Site"
"XML Sitemap Section","XML Sitemap Section"
"Categories Options","Opțiuni categorii"
"Frequency","Frecvență"
"Priority","Prioritate"
"Valid values range from 0.0 to 1.0.","Interval valori valide de la 0.0 la 1.0."
"Products Options","Opțiuni produs"
"Add Images into Sitemap","Adăugați imagini pe Harta site-ului"
"CMS Pages Options","Opțiuni Pagini CMS"
"Generation Settings","Setări Generare"
"Enabled","Activat"
"Error Email Recipient","Eroare destinatar email"
"Error Email Sender","Eroare expeditor email"
"Error Email Template","Eroare șablon email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","șablon email ales pe baza temei fallback atunci când opțiunea ""Implicit"" este selectată."
"Start Time","Timp de începere"
"Sitemap File Limits","Limită fișiere pe Harta Site-ului"
"Maximum No of URLs Per File","Număr maxim de URL-uri pe pagină"
"Maximum File Size","Mărime maximă fișier"
"File size in bytes.","Mărime fișier în octeți"
"Search Engine Submission Settings","Setări PrezentareMotor de Căutare"
"Enable Submission to Robots.txt","Activați Prezentare la Robots.txt"
"ID","ID"
"Link for Google","Link pentru Google"
"Last Generated","Ultimul generat"
"Action","Acțiune"
