"Save & Generate","Αποθήκευση & Δημιουργία"
"Edit Sitemap","Επεξεργασία Χάρτη Ιστότοπου"
"New Sitemap","Νέος Χάρτης Ιστοτόπου"
"Sitemap Information","Πληροφορίες Χάρτη Ιστότοπου"
"Sitemap","Χάρτης Ιστότοπου"
"Filename","Όνομα αρχείου"
"example: sitemap.xml","παράδειγμα: χάρτης ιστότοπου.xml"
"Path","Διαδρομή"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Προβολή Καταστήματος"
"Generate","Δημιουργία"
"XML Sitemap","XML Χάρτη Ιστοτόπου"
"Add Sitemap","Προσθήκη Χάρτη Ιστότοπου"
"Catalog","Κατάλογος"
"You deleted the sitemap.","Διαγράψατε το Χάρτη Ιστότοπου."
"We can't find a sitemap to delete.","Δεν βρέθηκε Χάρτης Ιστότοπου για διαγραφή."
"This sitemap no longer exists.","Αυτός ο Χάρτης ιστοτοπου δεν υπάρχει πλέον."
"Site Map","Χάρτης ιστότοπου"
"New Site Map","Νέος Χάρτης Ιστοτόπου"
"The sitemap ""%1"" has been generated.","Έχει δημιουργηθεί ο Χάρτης Ιστότοπου ""%1""."
"We can't generate the sitemap right now.","Δεν είναι δυνατή η δημιουργία χάρτης ιστότοπου αυτή τη στιγμή."
"We can't find a sitemap to generate.","Δεν βρέθηκε Χάρτης Ιστότοπου για δημιουργία."
"You saved the sitemap.","Αποθηκεύσατε το Χάρτη Ιστότοπου."
"The priority must be between 0 and 1.","Η προτεραιότητα πρέπει να είναι μεταξύ 0 και 1."
"Always","Πάντα"
"Hourly","Ωριαία"
"Daily","Καθημερινά"
"Weekly","Εβδομαδιαία"
"Monthly","Μηνιαία"
"Yearly","Ετήσια"
"Never","Ποτέ"
"File handler unreachable","Δείκτης χειρισμού αρχείων μη προσβάσιμος"
"Please define a correct path.","Παρακαλώ καθορίστε μια σωστή διαδρομή."
"Please create the specified folder ""%1"" before saving the sitemap.","Παρακαλώ δημιουργήστε τον καθορισμένο φάκελο ""%1"" πριν αποθηκεύσετε το χάρτη ιστότοπου."
"Please make sure that ""%1"" is writable by the web-server.","Παρακαλώ βεβαιωθείτε ότι ""%1"" είναι εγγράψιμο από τον διακομιστή."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (a-z ή A-Z), αριθμούς (0-9) ή χαρακτήρες υπογράμμισης (_) στο όνομα αρχείου. Δεν επιτρέπονται κενά διαστήματα ή άλλοι χαρακτήρες."
"None","Κανένα"
"Base Only","Βάση μόνο"
"All","Όλα"
"Sitemap generate Warnings","Χάρτης Ιστότοπου δημιούργησε Προειδοποιήσεις"
"Sitemap Generation Warnings","Προειδοποιήσεις Δημιουργίας Χάρτη Ιστότοπου"
"XML Sitemap Section","Τμήμα XML Χάρτη Ιστότοπου"
"Categories Options","Επιλογές Κατηγοριών"
"Frequency","Συχνότητα"
"Priority","Προτεραιότητα"
"Valid values range from 0.0 to 1.0.","Έγκυρο εύρος τιμών από 0.0 έως 1.0."
"Products Options","Επιλογές προϊόντων"
"Add Images into Sitemap","Προσθήκη Εικόνων στο Χάρτη Ιστότοπου"
"CMS Pages Options","Επιλογές CMS Σελίδων"
"Generation Settings","Ρυθμίσεις δημιουργίας"
"Enabled","Ενεργό"
"Error Email Recipient","Παραλήπτης Email Σφάλματος"
"Error Email Sender","Αποστολέας Email Σφάλματος"
"Error Email Template","Προτύπο Email Σφάλματος"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Το επιλεγμένο πρότυπο Email βασίζεται στo μητρικό θέμα όταν έχει επιλεχθεί η επιλογή ""Default""."
"Start Time","Ώρα Έναρξης"
"Sitemap File Limits","Όρια Αρχείο Χάρτη Ιστότοπου"
"Maximum No of URLs Per File","Ανώτατο Όριο URLs Ανά Αρχείο"
"Maximum File Size","Μέγιστο Μέγεθος Αρχείου"
"File size in bytes.","Μέγεθος αρχείου σε bytes."
"Search Engine Submission Settings","Ρυθμίσεις Υποβολής Μηχανής Αναζήτησης"
"Enable Submission to Robots.txt","Ενεργοποίηση υποβολής στο Robots.txt"
"ID","ID"
"Link for Google","Σύνδεσμος για το Google"
"Last Generated","Τελευταία Δημιουργήθηκε"
"Action","Ενέργεια"
