"Save & Generate","حفظ & إنتاج"
"Edit Sitemap","تعديل خريطة الموقع"
"New Sitemap","خريطة موقع جديدة"
"Sitemap Information","معلومات خريطة الموقع"
"Sitemap","خريطة الموقع"
"Filename","اسم الملف"
"example: sitemap.xml","مثال: sitemap.xml"
"Path","المسار"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","عرض المتجر"
"Generate","توليد"
"XML Sitemap","XML Sitemap"
"Add Sitemap","أضف خريطة للموقع"
"Catalog","دليل المنتجات"
"You deleted the sitemap.","لقد حذفت ملف خريطة الموقع."
"We can't find a sitemap to delete.","لا يمكن أن نجد خريطة موقع لحذفها."
"This sitemap no longer exists.","خريطة الموقع لم تعد موجودة."
"Site Map","خريطة الموقع"
"New Site Map","خريطة موقع جديد"
"The sitemap ""%1"" has been generated.","The sitemap ""%1"" has been generated."
"We can't generate the sitemap right now.","لا يمكن إنشاء ملف خريطة الموقع الآن."
"We can't find a sitemap to generate.","لا يمكن أن نجد خريطة موقع للتوليد."
"You saved the sitemap.","You saved the sitemap."
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"Always","دائماً"
"Hourly","كل ساعة"
"Daily","يوميا"
"Weekly","إسبوعياً"
"Monthly","شهريا"
"Yearly","سنوياً"
"Never","مطلقاً"
"File handler unreachable","File handler unreachable"
"Please define a correct path.","Please define a correct path."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
"None","لا شئ"
"Base Only","Base Only"
"All","الكل"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Sitemap Generation Warnings","Sitemap Generation Warnings"
"XML Sitemap Section","XML Sitemap Section"
"Categories Options","خيارات التصنيفات"
"Frequency","التردد"
"Priority","أولوية"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","خصائص المنتج"
"Add Images into Sitemap","Add Images into Sitemap"
"CMS Pages Options","خيارات ادارة المحتوى"
"Generation Settings","خصائص الانشاء"
"Enabled","تفعيل"
"Error Email Recipient","خطأ فى مستقبل الرسالة"
"Error Email Sender","خطأ فى ارسال الرسالة"
"Error Email Template","خطأ فى قالب الرسالة"
"Email template chosen based on theme fallback when ""Default"" option is selected.","اختيار قالب البريد الإلكتروني استناداً إلى الثيم عند تحديد الخيار ""الإفتراضي""."
"Start Time","زمن البداية"
"Sitemap File Limits","Sitemap File Limits"
"Maximum No of URLs Per File","Maximum No of URLs Per File"
"Maximum File Size","Maximum File Size"
"File size in bytes.","File size in bytes."
"Search Engine Submission Settings","Search Engine Submission Settings"
"Enable Submission to Robots.txt","Enable Submission to Robots.txt"
"ID","التعريف"
"Link for Google","رابط لجوجل"
"Last Generated","Last Generated"
"Action","إجراء"
