"Save & Generate","Kaydet & Üret"
"Edit Sitemap","Site Haritası Düzenle"
"New Sitemap","Yeni site haritası"
"Sitemap Information","Site Haritası Bilgisi"
"Sitemap","Site Haritası"
"Filename","Dosya Adı"
"example: sitemap.xml","örnek: sitemap.xml"
"Path","Yol"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Mağaza Görünümü"
"Generate","Üret"
"XML Sitemap","XML site haritası"
"Add Sitemap","Site Haritası Ekle"
"Catalog","Katalog"
"You deleted the sitemap.","Site haritasını sildiniz."
"We can't find a sitemap to delete.","Silmek için bir site haritası bulamadık."
"This sitemap no longer exists.","Site Haritası bulunamadı."
"Site Map","Site Haritası"
"New Site Map","Yeni site haritası"
"The sitemap ""%1"" has been generated.","Site haritası ''%1'' oluşturuldu."
"We can't generate the sitemap right now.","Şu anda site haritasını oluşturamayız."
"We can't find a sitemap to generate.","Üretilecek bir site haritası bulamıyoruz."
"You saved the sitemap.","Site haritasını kaydettiniz."
"The priority must be between 0 and 1.","Öncelik değeri 0 ve 1 arasında olmalıdır."
"Always","Her zaman"
"Hourly","Saatlik"
"Daily","Günlük"
"Weekly","Haftalık"
"Monthly","Aylık"
"Yearly","Yıllık"
"Never","Asla"
"File handler unreachable","Dosya işleyicisine erişilemiyor"
"Please define a correct path.","Lütfen doğru yolu tanımlayın."
"Please create the specified folder ""%1"" before saving the sitemap.","Site haritasını kaydetmeden önce lütfen belirtilen klasörü ""%1"" kadar oluşturun."
"Please make sure that ""%1"" is writable by the web-server.","Lütfen ""%1"" in web sunucusu tarafından yazılabilir olduğundan emin olun."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Lütfen dosya adında yalnızca harfler (a-z veya A-Z), sayılar (0-9) veya alt çizgi (_) kullanın. Boşluk veya diğer karakterlere izin verilmez."
"None","Hiçbiri"
"Base Only","Sadece taban"
"All","Tümü"
"Sitemap generate Warnings","Site haritası uyarılar üretir"
"Sitemap Generation Warnings","Site Haritası Oluşturma Uyarıları"
"XML Sitemap Section","XML Site Haritası Bölümü"
"Categories Options","Kategori Seçenekleri"
"Frequency","Sıklık"
"Priority","Öncelik"
"Valid values range from 0.0 to 1.0.","Geçerli değerler 0.0 ile 1.0 arasındadır."
"Products Options","Ürün Seçenekleri"
"Add Images into Sitemap","Site haritasına resimler ekle"
"CMS Pages Options","CMS Sayfa Seçenekleri"
"Generation Settings","Üretme Ayarları"
"Enabled","Aktif edildi"
"Error Email Recipient","Hata Bildirimi E-posta Alıcısı"
"Error Email Sender","Hata Bildirimi E-posta Göndericisi"
"Error Email Template","Hata Bildirimi E-posta Şablonu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-posta şablonu, ""Varsayılan"" seçeneği seçildiğinde temanın geri düşümü temel alınarak seçildi."
"Start Time","Başlangıç Zamanı"
"Sitemap File Limits","Site Haritası Dosya Limitleri"
"Maximum No of URLs Per File","Dosya başına maksimum URL sayısı"
"Maximum File Size","Maksimum Dosya Boyutu"
"File size in bytes.","Dosya boyutu bayt cinsinden."
"Search Engine Submission Settings","Arama motoru gönderme ayarları"
"Enable Submission to Robots.txt","Robots.txt' ye göndermeyi etkinleştir"
"ID","No"
"Link for Google","Google Linki"
"Last Generated","Son üretilen"
"Action","Eylem"
