"Save & Generate","ذخیره و تولید"
"Edit Sitemap","Edit ویرایش نقشه سایت"
"New Sitemap","نقشه سایت جدید"
"Sitemap Information","اطلاعات نقشه سایت"
"Sitemap","نقشه سایت"
"Filename","نام فایل"
"example: sitemap.xml","مثال: sitemap.xml"
"Path","مسير"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","نمای فروشگاه"
"Generate","تولید"
"XML Sitemap","نقشه سایت XML"
"Add Sitemap","افزودن نقشه سایت"
"Catalog","فهرست"
"You deleted the sitemap.","شما نقشه سایت را حذف کردید."
"We can't find a sitemap to delete.","ما نمیتوانیم نقشه سایت را حذف کنیم."
"This sitemap no longer exists.","این نقشه سایت دیگر موجود نیست."
"Site Map","نقشه‌ی سایت"
"New Site Map","نقشه سایت جدید"
"The sitemap ""%1"" has been generated.","نقشه سایت ""%1"" تولید شده است."
"We can't generate the sitemap right now.","ما اکنون نمیتوانیم نقشه سایت را تولید کنیم."
"We can't find a sitemap to generate.","ما نمیتوانیم نقشه سایت را برای تولید پیدا کنیم."
"You saved the sitemap.","شما نقشه سایت را ذخیره کردید."
"The priority must be between 0 and 1.","اولویت باید بین 0 و 1 باشد."
"Always","هميشه"
"Hourly","ساعتی"
"Daily","روزانه"
"Weekly","هفتگی"
"Monthly","ماهیانه"
"Yearly","سالانه"
"Never","هرگز"
"File handler unreachable","دستیار فایل غیر قابل دسترس است"
"Please define a correct path.","لطفا یک مسیر درست را تعریف کنید."
"Please create the specified folder ""%1"" before saving the sitemap.","لطفا پوشه مشخص شده ""%1"" را قبل از ذخیره نقشه سایت ایجاد کنید."
"Please make sure that ""%1"" is writable by the web-server.","لطفا مطمئن شوید که ""%1"" توسط وب سرور قابل خواندن است."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","لطفا فقط از حروف (a-z یا A-Z)، اعداد (0-9) یا زیرخط (_) در نام فایل استفاده کنید. هیچ فضایی یا کاراکتر دیگری مجاز نیست."
"None","هیچ یک"
"Base Only","فقط پایه"
"All","همه"
"Sitemap generate Warnings","اخطارهای تولید نقشه سایت"
"Sitemap Generation Warnings","اخطارهای ایجاد نقشه سایت"
"XML Sitemap Section","بخش نقشه سایت XML"
"Categories Options","گزینه‌های رده‌ها"
"Frequency","میزان تکرار"
"Priority","اولویت"
"Valid values range from 0.0 to 1.0.","مقدار معتبر از 0.0 تا 1.0 متغیر است."
"Products Options","گزینه‌های محصولات"
"Add Images into Sitemap","تصاویر را به نقشه سایت اضافه کنید"
"CMS Pages Options","گزینه‌های صفحات CMS"
"Generation Settings","تنظیمات تولید"
"Enabled","فعال"
"Error Email Recipient","گیرنده‌ی ایمیل خطا"
"Error Email Sender","فرستنده‌ی ایمیل خطا"
"Error Email Template","قالب ایمیل خطا"
"Email template chosen based on theme fallback when ""Default"" option is selected.","قالب ایمیل انتخاب شده بر اساس پشت زمینه تم هنگامی که گزینه "" پیش فرض"" انتخاب شده است."
"Start Time","زمان شروع"
"Sitemap File Limits","محدودیت های فایل نقشه سایت"
"Maximum No of URLs Per File","حداکثر تعداد URL ها در هر پرونده"
"Maximum File Size","بیشترین اندازه فایل"
"File size in bytes.","اندازه فایل در بایت."
"Search Engine Submission Settings","تنظیمات ارسال موتور جستجوگر"
"Enable Submission to Robots.txt","ارسال مقاله به Robots.txt را فعال کنید"
"ID","شناسه"
"Link for Google","لینک برای گوگل"
"Last Generated","آخرین ساخته شده"
"Action","اقدام"
