"Save & Generate","Saglabāt & Ģenerēt"
"Edit Sitemap","Labot lapas karti"
"New Sitemap","Jaunas lapas karte"
"Sitemap Information","Sitemap Information"
"Sitemap","Lapas karte"
"Filename","Faila nosaukums"
"example: sitemap.xml","example: sitemap.xml"
"Path","Ceļš"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Veikala skats"
"Generate","Ģenerēt"
"XML Sitemap","XML Sitemap"
"Add Sitemap","Pievienot lapas karti"
"Catalog","Katalogs"
"You deleted the sitemap.","You deleted the sitemap."
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"This sitemap no longer exists.","Lapas karte vairs neeksistē."
"Site Map","Lapas karte"
"New Site Map","Jauna lapas karte"
"The sitemap ""%1"" has been generated.","Lapas karte ""%1"" tika ģenerēta."
"We can't generate the sitemap right now.","We can't generate the sitemap right now."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"You saved the sitemap.","You saved the sitemap."
"The priority must be between 0 and 1.","Prioritātei jābūt starp 0 un 1."
"Always","Vienmēr"
"Hourly","Katru stundu"
"Daily","Katru dienu"
"Weekly","Katru nedēļu"
"Monthly","Katru mēnesi"
"Yearly","Katru gadu"
"Never","Nekad"
"File handler unreachable","File handler unreachable"
"Please define a correct path.","Please define a correct path."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
"None","Neviens"
"Base Only","Base Only"
"All","Visi"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Sitemap Generation Warnings","Sitemap Generation Warnings"
"XML Sitemap Section","XML Sitemap Section"
"Categories Options","Kategoriju opcijas"
"Frequency","Biežums"
"Priority","Prioritāte"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","Produkta opcijas"
"Add Images into Sitemap","Add Images into Sitemap"
"CMS Pages Options","CMS lapas opcijas"
"Generation Settings","Ģenerēšanas iestatījumi"
"Enabled","Ieslēgts"
"Error Email Recipient","E-pasta saņēmēja kļūda"
"Error Email Sender","E-pasta sūtītāja kļūda"
"Error Email Template","E-pasta šablona kļūda"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-pasta šablons izvēlēts balstoties uz iepriekšējās tēmas, ja ir izvēlēta ""noklusētā"" opcija."
"Start Time","Sākuma laiks"
"Sitemap File Limits","Sitemap File Limits"
"Maximum No of URLs Per File","Maximum No of URLs Per File"
"Maximum File Size","Maksimālais faila lielums"
"File size in bytes.","Faila izmērs baitos."
"Search Engine Submission Settings","Search Engine Submission Settings"
"Enable Submission to Robots.txt","Enable Submission to Robots.txt"
"ID","ID"
"Link for Google","Saite priekš Google"
"Last Generated","Last Generated"
"Action","Darbība"
