"Save & Generate","Opslaan & genereren"
"Edit Sitemap","Sitemap bewerken"
"New Sitemap","Nieuwe sitemap"
"Sitemap Information","Sitemap-informatie"
"Sitemap","Sitemap"
"Filename","Bestandsnaam"
"example: sitemap.xml","voorbeeld: sitemap.xml"
"Path","Pad:"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Winkelaanzicht"
"Generate","Genereren"
"XML Sitemap","XML-Sitemap"
"Add Sitemap","Sitemap toevoegen"
"Catalog","Catalogus"
"You deleted the sitemap.","Je hebt de sitemap verwijderd."
"We can't find a sitemap to delete.","We vonden geen sitemap om te verwijderen."
"This sitemap no longer exists.","De Sitemap bestaat niet langer."
"Site Map","Sitemap"
"New Site Map","Nieuwe sitekaart"
"The sitemap ""%1"" has been generated.","De sitemap ""%1"" is gegenereerd."
"We can't generate the sitemap right now.","We kunnen momenteel geen sitemap genereren."
"We can't find a sitemap to generate.","Wij kunnen geen sitemap vinden om te genereren."
"You saved the sitemap.","Je hebt de sitemap opgeslagen."
"The priority must be between 0 and 1.","De prioriteit moet tussen de 0 en 1 zijn."
"Always","Altijd"
"Hourly","Elk uur"
"Daily","Dagelijks"
"Weekly","Wekelijks"
"Monthly","Maandelijks"
"Yearly","Jaarlijks"
"Never","Nooit"
"File handler unreachable","Bestands handler onbereikbaar"
"Please define a correct path.","Geef een juist pad op."
"Please create the specified folder ""%1"" before saving the sitemap.","Maak eerst de volgende folder ""%1"" aan voo het opslaan van de sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Controleer of de webserver schrijfrechten heeft op ""%1""."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Gebruik alleen letters (a-z en A-Z), cijfers (0-9) of underscores (_) in de bestandsnaam. Spaties en andere tekens zijn niet toegestaan."
"None","Geen"
"Base Only","Alleen base"
"All","Alle"
"Sitemap generate Warnings","Waarschuwingen van de sitemap generatie"
"Sitemap Generation Warnings","Waarschuwingen van de sitemap generatie"
"XML Sitemap Section","XML Sitemap sectie"
"Categories Options","Opties categorie&euml;n"
"Frequency","Frequentie"
"Priority","Prioriteit"
"Valid values range from 0.0 to 1.0.","Geldige waarden variëren van 0.0 te 1.0."
"Products Options","Opties producten"
"Add Images into Sitemap","Afbeeldingen in de Sitemap toevoegen"
"CMS Pages Options","Opties CMS-pagina’s"
"Generation Settings","Instellingen voor genereren"
"Enabled","Ingeschakeld"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Afzender Foutmelding Email"
"Error Email Template","Foutmelding Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Start Time","Begin Tijd"
"Sitemap File Limits","Sitemap bestand beperkingen"
"Maximum No of URLs Per File","Maximaal aantal URL's per bestand"
"Maximum File Size","Maximale bestandsgrootte"
"File size in bytes.","Bestandsgrootte in bytes."
"Search Engine Submission Settings","Instellingen zoekmachine indiening"
"Enable Submission to Robots.txt","Indienen in Robots.txt inschakelen"
"ID","ID"
"Link for Google","Link voor Google"
"Last Generated","Laatst gegenereerd"
"Action","Actie"
