"Save & Generate","שמור וצור"
"Edit Sitemap","עריכת מפת האתר"
"New Sitemap","מפת האתר החדשה"
"Sitemap Information","מידע עבור מפת אתר"
"Sitemap","מפת אתר"
"Filename","Filename"
"example: sitemap.xml","דוגמה: sitemap. xml"
"Path","נתיב"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","תצוגת חנות"
"Generate","יצירה"
"XML Sitemap","מפת אתר XML"
"Add Sitemap","הוספת מפת אתר"
"Catalog","קטלוג"
"You deleted the sitemap.","מחקת את מפת האתר."
"We can't find a sitemap to delete.","לא ניתן למצוא את מפת האתר למחיקה."
"This sitemap no longer exists.","מפת אתר זו אינה קיימת יותר."
"Site Map","מפת אתר"
"New Site Map","מפת אתר חדשה"
"The sitemap ""%1"" has been generated.","מפת האתר ""%1"" נוצרה."
"We can't generate the sitemap right now.","איננו יכולים ליצור את מפת האתר נכון לעכשיו."
"We can't find a sitemap to generate.","לא נמצא מפת אתר שניתן לייצר."
"You saved the sitemap.","שמרת את מפת האתר."
"The priority must be between 0 and 1.","העדיפות חייבת להיות בין 0 ל-1."
"Always","תמיד"
"Hourly","שעתי"
"Daily","יומי"
"Weekly","שבועי"
"Monthly","חודשי"
"Yearly","שנתי"
"Never","לעולם לא"
"File handler unreachable","המטפל בקבצים בלתי ניתן להשגה"
"Please define a correct path.","אנא הגדר נתיב תקין."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
"None","ללא"
"Base Only","Base Only"
"All","הכל"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Sitemap Generation Warnings","Sitemap Generation Warnings"
"XML Sitemap Section","XML Sitemap Section"
"Categories Options","Categories Options"
"Frequency","תדירות"
"Priority","עדיפות"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","Products Options"
"Add Images into Sitemap","Add Images into Sitemap"
"CMS Pages Options","אפשרויות דפי CMS"
"Generation Settings","Generation Settings"
"Enabled","פעיל"
"Error Email Recipient","שגיאת נמען דואר אלקטרוני"
"Error Email Sender","שגיאת שולח דואר אלקטרוני"
"Error Email Template","שגיאת תבנית דואר אלקטרוני"
"Email template chosen based on theme fallback when ""Default"" option is selected.","תבנית המייל הנבחר בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"Start Time","שעת התחלה"
"Sitemap File Limits","Sitemap File Limits"
"Maximum No of URLs Per File","Maximum No of URLs Per File"
"Maximum File Size","גודל קובץ מקסימלי"
"File size in bytes.","File size in bytes."
"Search Engine Submission Settings","Search Engine Submission Settings"
"Enable Submission to Robots.txt","Enable Submission to Robots.txt"
"ID","מזהה"
"Link for Google","קישור עבור- Google"
"Last Generated","האחרון שנוצר"
"Action","פעולה"
