"Save & Generate","Tallenna & luo"
"Edit Sitemap","Muokkaa sivukarttaa"
"New Sitemap","Uusi sivukartta"
"Sitemap Information","Sivukartan tiedot"
"Sitemap","Sivukartta"
"Filename","Tiedostonimi"
"example: sitemap.xml","esimerkki: sitemap.xml"
"Path","Polku"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Kauppanäkymä"
"Generate","Luo"
"XML Sitemap","XML-sivukartta"
"Add Sitemap","Lisää sivukartta"
"Catalog","Katalogi"
"You deleted the sitemap.","Sivukartta poistettiin."
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"This sitemap no longer exists.","Tätä sivukarttaa ei ole enää olemassa."
"Site Map","Sivukartta"
"New Site Map","Uusi sivukartta"
"The sitemap ""%1"" has been generated.","Sivukartta ""%1"" on luotu."
"We can't generate the sitemap right now.","We can't generate the sitemap right now."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"You saved the sitemap.","Sivukartta on tallennettu."
"The priority must be between 0 and 1.","Prioriteetin on oltava välillä 0 ja 1."
"Always","Aina"
"Hourly","Tunneittain"
"Daily","Päivittäinen"
"Weekly","Viikottain"
"Monthly","Kuukausittain"
"Yearly","Vuosittain"
"Never","Ei koskaan"
"File handler unreachable","File handler unreachable"
"Please define a correct path.","Määritä oikea polku."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
"None","Ei mikään"
"Base Only","Base Only"
"All","Kaikki"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Sitemap Generation Warnings","Sitemap Generation Warnings"
"XML Sitemap Section","XML Sitemap Section"
"Categories Options","Categories Options"
"Frequency","Tiheys"
"Priority","Prioriteetti"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","Products Options"
"Add Images into Sitemap","Lisää kuvia sivukarttaan"
"CMS Pages Options","CMS Pages Options"
"Generation Settings","Luomisen asetukset"
"Enabled","Käytössä"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Valittu sähköpostimalli perustuu teeman fallbackiin kun ""Default"" -vaihtoehto on valittuna."
"Start Time","Aloitusaika"
"Sitemap File Limits","Sitemap File Limits"
"Maximum No of URLs Per File","Maximum No of URLs Per File"
"Maximum File Size","Tiedoston enimmäiskoko"
"File size in bytes.","Tiedostokoko tavuina."
"Search Engine Submission Settings","Search Engine Submission Settings"
"Enable Submission to Robots.txt","Enable Submission to Robots.txt"
"ID","Tunnus"
"Link for Google","Linkki Googlea varten"
"Last Generated","Viimeksi luotu"
"Action","Toiminto"
