"Save & Generate","Lagre & Generér"
"Edit Sitemap","Redigere sidekart"
"New Sitemap","Nytt sidekart"
"Sitemap Information","Sidekartinformasjon"
"Sitemap","Sidekart"
"Filename","Filnavn"
"example: sitemap.xml","eksempel: sitemap.xml"
"Path","Sti"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Butikkvisning"
"Generate","Generere"
"XML Sitemap","XML-sidekart"
"Add Sitemap","Legg til sidekart"
"Catalog","Katalog"
"You deleted the sitemap.","Du slettet sidekartet."
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"This sitemap no longer exists.","Dette sidekartet finnes ikke lenger."
"Site Map","Site Map"
"New Site Map","New Site Map"
"The sitemap ""%1"" has been generated.","The sitemap ""%1"" has been generated."
"We can't generate the sitemap right now.","We can't generate the sitemap right now."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"You saved the sitemap.","You saved the sitemap."
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"Always","Alltid"
"Hourly","Hver time"
"Daily","Daglig"
"Weekly","Ukentlig"
"Monthly","Månedlig"
"Yearly","Årlig"
"Never","Aldri"
"File handler unreachable","File handler unreachable"
"Please define a correct path.","Vennligst oppgi en korrekt sti."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
"None","Ingen"
"Base Only","Kun standard"
"All","Alle"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Sitemap Generation Warnings","Sitemap Generation Warnings"
"XML Sitemap Section","XML Sitemap Section"
"Categories Options","Categories Options"
"Frequency","Frekvens"
"Priority","Prioritet"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","Produktalternativer"
"Add Images into Sitemap","Add Images into Sitemap"
"CMS Pages Options","CMS Pages Options"
"Generation Settings","Generation Settings"
"Enabled","Aktivert"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Feil Epost Sender"
"Error Email Template","Feil Epost Mal"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmal valgt basert på tema fallback når ""Default"" alternativet er valgt."
"Start Time","Starttid"
"Sitemap File Limits","Sitemap File Limits"
"Maximum No of URLs Per File","Maximum No of URLs Per File"
"Maximum File Size","Maximum File Size"
"File size in bytes.","Fil størrelse i bytes."
"Search Engine Submission Settings","Search Engine Submission Settings"
"Enable Submission to Robots.txt","Enable Submission to Robots.txt"
"ID","ID"
"Link for Google","Link til Google"
"Last Generated","Sist generert"
"Action","Handling"
