"Save & Generate","저장하고 생성하기"
"Edit Sitemap","사이트맵 수정"
"New Sitemap","신규 사이트맵"
"Sitemap Information","사이트맵 정보"
"Sitemap","사이트맵"
"Filename","파일명"
"example: sitemap.xml","예: sitemap.xml"
"Path","경로"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","스토어뷰"
"Generate","생성"
"XML Sitemap","XML 사이트맵"
"Add Sitemap","사이트맵 추가"
"Catalog","카탈로그"
"You deleted the sitemap.","사이트맵을 삭제했습니다."
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"This sitemap no longer exists.","사이트맵이 더이상 존재하지 않습니다."
"Site Map","사이트맵"
"New Site Map","신규 사이트맵"
"The sitemap ""%1"" has been generated.","사이트맵 ""%1""이 생성되었습니다."
"We can't generate the sitemap right now.","We can't generate the sitemap right now."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"You saved the sitemap.","사이트맵을 생성했습니다."
"The priority must be between 0 and 1.","우선순위는 반드시 0과 1사이의 숫자이여야 합니다."
"Always","항상"
"Hourly","Hourly"
"Daily","Daily"
"Weekly","Weekly"
"Monthly","Monthly"
"Yearly","Yearly"
"Never","Never"
"File handler unreachable","File handler unreachable"
"Please define a correct path.","올바른 경로를 지정해 주십시오."
"Please create the specified folder ""%1"" before saving the sitemap.","사이트맵을 저장하기 전에 폴더 ""%1""을 만들어 주십시오."
"Please make sure that ""%1"" is writable by the web-server.","""%1""이(가) 쓰기 가능한지 웹서버에서 확인해 주십시오."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","파일명에는 영문 대소문자, 숫자, 언더바(_)만 사용할 수 있습니다. 공백이나 다른 문자는 사용할 수 없습니다."
"None","없음"
"Base Only","Base Only"
"All","모두"
"Sitemap generate Warnings","사이트맵 생성 경고"
"Sitemap Generation Warnings","사이트맵 생성 경고"
"XML Sitemap Section","XML Sitemap Section"
"Categories Options","카테고리 옵션"
"Frequency","빈도"
"Priority","우선순위"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","상품 옵션"
"Add Images into Sitemap","사이트맵에 이미지 추가"
"CMS Pages Options","CMS 페이지 옵션"
"Generation Settings","Generation Settings"
"Enabled","활성화"
"Error Email Recipient","에러 이메일 받는 사람"
"Error Email Sender","에러 메일 전송자"
"Error Email Template","에러 이메일 템플릿"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Start Time","시작 시간"
"Sitemap File Limits","사이트맵 파일 제한"
"Maximum No of URLs Per File","파일당 최대 URL 수"
"Maximum File Size","최대 파일 사이즈"
"File size in bytes.","File size in bytes."
"Search Engine Submission Settings","Search Engine Submission Settings"
"Enable Submission to Robots.txt","Enable Submission to Robots.txt"
"ID","ID"
"Link for Google","Link for Google"
"Last Generated","Last Generated"
"Action","동작"
