"Save & Generate","Simpan & Hasilkan"
"Edit Sitemap","Edit Sitemap"
"New Sitemap","New Sitemap"
"Sitemap Information","Sitemap Information"
"Sitemap","Sitemap"
"Filename","Filename"
"example: sitemap.xml","example: sitemap.xml"
"Path","Jalan"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Tampilan toko"
"Generate","Pembuatan"
"XML Sitemap","Peta Situs XML"
"Add Sitemap","Add Sitemap"
"Catalog","Katalog"
"You deleted the sitemap.","You deleted the sitemap."
"We can't find a sitemap to delete.","Kami tidak dapat menemukan peta situs yang akan dihapus."
"This sitemap no longer exists.","This sitemap no longer exists."
"Site Map","Site Map"
"New Site Map","New Site Map"
"The sitemap ""%1"" has been generated.","The sitemap ""%1"" has been generated."
"We can't generate the sitemap right now.","Kami tidak dapat membuat peta situs sekarang juga."
"We can't find a sitemap to generate.","Kami tidak dapat menemukan peta situs untuk menghasilkan."
"You saved the sitemap.","You saved the sitemap."
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"Always","Selalu"
"Hourly","Per jam"
"Daily","Harian"
"Weekly","Mingguan"
"Monthly","Bulanan"
"Yearly","Yearly"
"Never","Tak pernah"
"File handler unreachable","File handler unreachable"
"Please define a correct path.","Please define a correct path."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
"None","Tidak ada"
"Base Only","Base Only"
"All","Semua"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Sitemap Generation Warnings","Sitemap Generation Warnings"
"XML Sitemap Section","XML Sitemap Section"
"Categories Options","Categories Options"
"Frequency","Frekuensi"
"Priority","Prioritas"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","Products Options"
"Add Images into Sitemap","Add Images into Sitemap"
"CMS Pages Options","CMS Pages Options"
"Generation Settings","Generation Settings"
"Enabled","Diaktifkan"
"Error Email Recipient","Kesalahan Pada Penerimaan Email"
"Error Email Sender","Kesalahan Pada Pengiriman Email"
"Error Email Template","Kesalahan Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template email dipilih berdasarkan fallback tema saat opsi ""Default"" dipilih."
"Start Time","Waktu mulai"
"Sitemap File Limits","Batas Berkas Peta Situs"
"Maximum No of URLs Per File","Maksimum No URL Per File"
"Maximum File Size","Ukuran File Maksimum"
"File size in bytes.","Ukuran file dalam satuan byte."
"Search Engine Submission Settings","Pengaturan Submission Search Engine"
"Enable Submission to Robots.txt","Aktifkan Penyerahan ke Robots.txt"
"ID","Id"
"Link for Google","Tautan untuk Google"
"Last Generated","Terakhir Dihasilkan"
"Action","Tindakan"
