"Delete Current Hierarchy","ಪ್ರಸ್ತುತ ವರ್ಗಶ್ರೇಣಿಯನ್ನು ಅಳಿಸಿ"
"Copy","ನಕಲಿಸಿ"
"Pages Hierarchy","ಪುಟಗಳ ವರ್ಗಶ್ರೇಣಿ"
"Page Properties","ಪುಟದ ವೈಶಿಷ್ತ್ಯಗಳು"
"Title","ಶೀರ್ಷಿಕೆ"
"URL Key","URL ಕೀ"
"Preview","ಮುನ್ನೋಟ"
"Preview is not available.","ಮುನ್ನೋಟ ಲಭ್ಯವಿಲ್ಲ."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
"First","ಮೊದಲಿನ"
"Next/Previous","ಮುಂದಿನ/ಹಿಂದಿನ"
"Enable Chapter/Section","ಅಧ್ಯಾಯ/ವಿಭಾಗ ವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Enables Chapter/Section functionality for this node, its sub-nodes and pages"
"Chapter/Section","ಅಧ್ಯಾಯ/ವಿಭಾಗ"
"Defines this node as Chapter/Section","Defines this node as Chapter/Section"
"Pagination Options for Nested Pages","Pagination Options for Nested Pages"
"Enable Pagination","Enable Pagination"
"Frame","ಚೌಕಟ್ಟು"
"Set the number of links to display at one time.","Set the number of links to display at one time."
"Frame Skip","Frame Skip"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value"
"Page Navigation Menu Options","Page Navigation Menu Options"
"Exclude from Navigation Menu","Exclude from Navigation Menu"
"Show in navigation menu.","Show in navigation menu."
"Menu Layout","ಮೆನು ವಿನ್ಯಾಸ"
"Only Children","Only Children"
"Neighbours and Children","ನೆರೆಹೊರೆಯವರು ಮತ್ತು ಮಕ್ಕಳು"
"Menu Detalization","Menu Detalization"
"Maximal Depth","ಗರಿಷ್ಟ ಆಳ"
"Node Levels to Include","Node Levels to Include"
"List Type","ಪಟ್ಟಿ ವಿಧ"
"List Style","ಪಟ್ಟಿ ಶೈಲಿ"
"Main Navigation Menu Options","Main Navigation Menu Options"
"Add selected page(s) to the tree","Add selected page(s) to the tree"
"Remove from tree.","Remove from tree."
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Save","ಉಳಿಸಿ"
"Add Node...","Add Node..."
"Add to tree.","Add to tree."
"Update","ಪರಿಷ್ಕರಿಸಿ"
"Node Properties","Node Properties"
"Page ID","ಪುಟದ ID"
"Manage Hierarchies","Manage Hierarchies"
"Hierarchy","ವರ್ಗಶ್ರೇಣಿ"
"Home","ಮುಖಪುಟ"
"Go to Home Page","ಮುಖಪುಟಕ್ಕೆ ತೆರಳಿ"
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"Please correct the scope.","ವ್ಯಾಪ್ತಿಯನ್ನು ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Something went wrong while deleting the hierarchy."
"CMS","CMS"
"CMS Page Trees","CMS Page Trees"
"You have saved the hierarchy.","ನೀವು ವರ್ಗಶ್ರೇಣಿಯನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Manage Pages","ಪುಟಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Private","ಖಾಸಗಿ"
"Protected","ರಕ್ಷಿತ"
"Public","ಸಾರ್ವಜನಿಕ"
"Delete Multiple Hierarchies","Delete Multiple Hierarchies"
"Please correct the node data.","Please correct the node data."
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
"Tree Viewed","Tree Viewed"
"No","ಇಲ್ಲ"
"Chapter","ಅಧ್ಯಾಯ"
"Section","ವಿಭಾಗ"
"Both","ಎರಡೂ"
"Use default","ನಿಯೋಜಿತವಾದುದನ್ನು ಬಳಸಿ"
"Default","ಪೂರ್ವನಿಯೋಜಿತ"
"Numbers (1, 2, 3, ...)","ಅಂಕೆಗಳು (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","Lower Alpha (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Upper Alpha (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Lower Roman (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Upper Roman (I, II, III, ...)"
"Circle","ವೃತ್ತ"
"Disc","ಡಿಸ್ಕ್"
"Square","ಚೌಕ"
"Unordered","Unordered"
"Ordered","ವ್ಯಾಪಾರಾದೇಶಿಸಿದ"
"Use Parent","Use Parent"
"Yes","ಹೌದು"
"This page cannot be assigned to node, because a node or page with the same URL Key already exists in this tree part.","This page cannot be assigned to node, because a node or page with the same URL Key already exists in this tree part."
"Use the parent node hierarchy.","Use the parent node hierarchy."
"Are you sure you want to delete current hierarchy?","Are you sure you want to delete current hierarchy?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","This page cannot be added, because a node or page with the same URL Key already exists in this tree part."
"This URL key is already in use.","ಈ URL ಕೀ ಈಗಾಗಲೇ ಬಳಕೆಯಲ್ಲಿದೆ."
"CMS Pages","CMS ಪುಟಗಳು"
"Please select a website or store view.","ದಯವಿಟ್ಟು ಜಾಲತಾಣ ಅಥವಾ ಮಳಿಗೆ ನೋಟವನ್ನು ಆರಿಸಿ."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Are you sure you want to copy the current hierarchy to the selected destinations?"
"Are you sure you want to delete the selected hierarchies?","Are you sure you want to delete the selected hierarchies?"
"Delete","ಅಳಿಸಿ"
"Please select one or more hierarchies to delete.","Please select one or more hierarchies to delete."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Root","ಮೂಲ"
"No nodes are available","No nodes are available"
"Single Hierarchy for All Store Views","Single Hierarchy for All Store Views"
"Specific Hierarchy for Each Store View","Specific Hierarchy for Each Store View"
"CMS Hierarchy for","CMS Hierarchy for"
"Anchor Custom Text","Anchor Custom Text"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title","Anchor Custom Title"
"Node","Node"
"Not Selected","ಆರಿಸಿಲ್ಲ"
"Select a page or node.","Select a page or node."
"Parent page","Parent page"
"Website Root","Website Root"
"Page:","ಪುಟ:"
"Page","ಪುಟ"
"Previous","ಹಿಂದಿನ"
"You're currently reading page","ಪ್ರಸ್ತುತ ನೀವು ಪುಟವನ್ನು ಓದುತಿದ್ದೀರಿ"
"Next","ಮುಂದೆ"
"Delete Revision and Version","Delete Revision and Version"
"Publish Revision","ಪರಿಷ್ಕರಣೆಯನ್ನು ಪ್ರಕಟಿಸಿ"
"Pages","ಪುಟಗಳು"
"CMS Page Hierarchy","CMS Page Hierarchy"
"Enable Hierarchy Functionality","Enable Hierarchy Functionality"
"Enable Hierarchy Metadata","Enable Hierarchy Metadata"
"Default Layout for Hierarchy Menu","Default Layout for Hierarchy Menu"
"CMS Hierarchy","CMS ವರ್ಗಶ್ರೇಣಿ"
"CMS Hierarchy Node Link","CMS Hierarchy Node Link"
"Link to Specified CMS Hierarchy Node","Link to Specified CMS Hierarchy Node"
"Template","ಮಾದರಿ"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"All Store Views","ಎಲ್ಲಾ ಮಳಿಗೆಗಳ ನೋಟಗಳು"
