"Delete Current Hierarchy","Poista nykyinen hierarkia"
"Copy","Kopioi"
"Pages Hierarchy","Sivujen hierarkia"
"Page Properties","Sivun ominaisuudet"
"Title","Otsikko"
"URL Key","URL-osoite"
"Preview","Esikatselu"
"Preview is not available.","Esikatselu ei ole käytettävissä."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
"First","Ensimmäinen"
"Next/Previous","Seuraava/Edellinen"
"Enable Chapter/Section","Enable Chapter/Section"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Enables Chapter/Section functionality for this node, its sub-nodes and pages"
"Chapter/Section","Chapter/Section"
"Defines this node as Chapter/Section","Defines this node as Chapter/Section"
"Pagination Options for Nested Pages","Pagination Options for Nested Pages"
"Enable Pagination","Enable Pagination"
"Frame","Frame"
"Set the number of links to display at one time.","Set the number of links to display at one time."
"Frame Skip","Frame Skip"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value"
"Page Navigation Menu Options","Page Navigation Menu Options"
"Exclude from Navigation Menu","Exclude from Navigation Menu"
"Show in navigation menu.","Näytä navigointivalikossa."
"Menu Layout","Valikon asettelu"
"Only Children","Only Children"
"Neighbours and Children","Neighbours and Children"
"Menu Detalization","Menu Detalization"
"Maximal Depth","Maximal Depth"
"Node Levels to Include","Node Levels to Include"
"List Type","List Type"
"List Style","List Style"
"Main Navigation Menu Options","Main Navigation Menu Options"
"Add selected page(s) to the tree","Add selected page(s) to the tree"
"Remove from tree.","Remove from tree."
"Cancel","Peruuta"
"Save","Tallenna"
"Add Node...","Add Node..."
"Add to tree.","Add to tree."
"Update","Päivitä"
"Node Properties","Node Properties"
"Page ID","Sivun tunnus"
"Manage Hierarchies","Manage Hierarchies"
"Hierarchy","Hierarkia"
"Home","Etusivu"
"Go to Home Page","Siirry etusivulle"
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"Please correct the scope.","Please correct the scope."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Something went wrong while deleting the hierarchy."
"CMS","Sisällönhallinta"
"CMS Page Trees","CMS Page Trees"
"You have saved the hierarchy.","You have saved the hierarchy."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Manage Pages","Hallitse sivuja"
"Private","Yksityinen"
"Protected","Suojattu"
"Public","Julkinen"
"Delete Multiple Hierarchies","Poista useita hierarkioita"
"Please correct the node data.","Please correct the node data."
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
"Tree Viewed","Tree Viewed"
"No","Ei"
"Chapter","Chapter"
"Section","Section"
"Both","Molemmat"
"Use default","Käytä oletusta"
"Default","Oletus"
"Numbers (1, 2, 3, ...)","Numerot (1, 2, 3,...)"
"Lower Alpha (a, b, c, ...)","Pienaakkoset (a, b, c...)"
"Upper Alpha (A, B, C, ...)","Suuraakkoset (A, B, C...)"
"Lower Roman (i, ii, iii, ...)","Lower Roman (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Upper Roman (I, II, III, ...)"
"Circle","Ympyrä"
"Disc","Levy"
