"Delete Current Hierarchy","Jelenlegi hierarchia törlése"
"Copy","Másolás"
"Pages Hierarchy","Oldal hierarchia"
"Page Properties","Oldal tulajdonságai"
"Title","Cím"
"URL Key","URL-kulcs"
"Preview","Előnézet"
"Preview is not available.","Nem érhető el előnézet."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
"First","Első"
"Next/Previous","Következő/Előző"
"Enable Chapter/Section","Enable Chapter/Section"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Enables Chapter/Section functionality for this node, its sub-nodes and pages"
"Chapter/Section","Chapter/Section"
"Defines this node as Chapter/Section","Defines this node as Chapter/Section"
"Pagination Options for Nested Pages","Pagination Options for Nested Pages"
"Enable Pagination","Lapozás engedélyezése"
"Frame","Frame"
"Set the number of links to display at one time.","Set the number of links to display at one time."
"Frame Skip","Frame Skip"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value"
"Page Navigation Menu Options","Page Navigation Menu Options"
"Exclude from Navigation Menu","Exclude from Navigation Menu"
"Show in navigation menu.","Megjelenítés a navigációs menüben."
"Menu Layout","Menü elrendezés"
"Only Children","Only Children"
"Neighbours and Children","Neighbours and Children"
"Menu Detalization","Menu Detalization"
"Maximal Depth","Maximális mélység"
"Node Levels to Include","Node Levels to Include"
"List Type","List Type"
"List Style","List Style"
"Main Navigation Menu Options","Main Navigation Menu Options"
"Add selected page(s) to the tree","Add selected page(s) to the tree"
"Remove from tree.","Remove from tree."
"Cancel","Mégse"
"Save","Mentés"
"Add Node...","Add Node..."
"Add to tree.","Add to tree."
"Update","Frissités"
"Node Properties","Node Properties"
"Page ID","Oldalazonosító"
"Manage Hierarchies","Hierarchia kezelése"
"Hierarchy","Hierarchia"
"Home","Kezdőlap"
"Go to Home Page","Ugrás a honlapra"
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"Please correct the scope.","Please correct the scope."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Something went wrong while deleting the hierarchy."
"CMS","CMS"
"CMS Page Trees","CMS Page Trees"
"You have saved the hierarchy.","You have saved the hierarchy."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Manage Pages","Oldalak kezelése"
"Private","Privát"
"Protected","Védett"
"Public","Publikus"
"Delete Multiple Hierarchies","Delete Multiple Hierarchies"
