"Back","Nazad"
"Save and Continue","Save and Continue"
"Save Configuration","Save Configuration"
"%1","%1"
"Default","Podrazumevani"
"Themes","Themes"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Are you sure you want to delete this theme?","Are you sure you want to delete this theme?"
"Theme: %1","Theme: %1"
"New Theme","New Theme"
"Theme CSS","Theme CSS"
"Theme CSS Assets","Theme CSS Assets"
"Custom CSS","Custom CSS"
"Select CSS File to Upload","Select CSS File to Upload"
"Upload CSS File","Upload CSS File"
"Download CSS File","Download CSS File"
"Manage","Manage"
"Upload Images","Upload Images"
"Images Assets","Images Assets"
"Upload Fonts","Upload Fonts"
"Fonts Assets","Fonts Assets"
"Edit custom.css","Edit custom.css"
"Allowed file types *.css.","Allowed file types *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","This file will replace the current custom.css file and can't be more than 2 MB."
"Max file size to upload %1M","Max file size to upload %1M"
"Something is wrong with the file upload settings.","Something is wrong with the file upload settings."
"CSS Editor","CSS Editor"
"Theme Settings","Theme Settings"
"Parent Theme","Parent Theme"
"Theme Path","Theme Path"
"Theme Title","Theme Title"
"Theme Preview Image","Theme Preview Image"
"General","Opšte"
"Copy of %1","Copy of %1"
"Max image size %1M","Max image size %1M"
"Theme JavaScript","Theme JavaScript"
"Select JS Files to Upload","Select JS Files to Upload"
"Upload JS Files","Upload JS Files"
"JS Editor","JS Editor"
"Allowed file types *.js.","Allowed file types *.js."
"Theme","Theme"
"Media Storage","Media Storage"
"Create Folder","Create Folder"
"Delete Folder","Izbrišite fasciklu"
"Delete File","Izbriši datoteku"
"Insert File","Insert File"
"New Folder Name:","New Folder Name:"
"Are you sure you want to delete this folder?","Are you sure you want to delete this folder?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Storage Root","Storage Root"
"welcome","welcome"
"Global","Globalno"
"Design Configuration","Design Configuration"
"Page not found.","Page not found."
"You saved the configuration.","You saved the configuration."
"Something went wrong while saving this configuration:","Something went wrong while saving this configuration:"
"We cannot find a theme with id ""%1"".","We cannot find a theme with id ""%1""."
"You deleted the theme.","You deleted the theme."
"We cannot delete the theme.","We cannot delete the theme."
"Theme not found: ""%1"".","Theme not found: ""%1""."
"File not found: ""%1"".","File not found: ""%1""."
"We can't find file.","We can't find file."
"We cannot find theme ""%1"".","We cannot find theme ""%1""."
"We cannot find the theme.","We cannot find the theme."
"This theme is not editable.","This theme is not editable."
"You saved the theme.","You saved the theme."
"We can't upload the CSS file right now.","We can't upload the CSS file right now."
"We can't upload the JS file right now.","We can't upload the JS file right now."
"Sorry, something went wrong. That's all we know.","Sorry, something went wrong. That's all we know."
"Invalid type","Invalid type"
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"%1 does not contain field '%2'","%1 does not contain field '%2'"
"Invalid regular expression: ""%1"".","Invalid regular expression: ""%1""."
"%1 does not contain field 'file'","%1 does not contain field 'file'"
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"label","oznaka"
"-- Please Select --","-- Molim odaberite --"
"The start date can't follow the end date.","The start date can't follow the end date."
"The date range for this design change overlaps another design change for the specified store.","The date range for this design change overlaps another design change for the specified store."
"Copy","Copy"
"Theme id should be set","Theme id should be set"
"Circular-reference in theme inheritance detected for ""%1""","Circular-reference in theme inheritance detected for ""%1"""
"The CSS file must be less than %1M.","The CSS file must be less than %1M."
"The JS file must be less than %1M.","The JS file must be less than %1M."
"We can't upload the file right now.","We can't upload the file right now."
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores."
"We found a directory with the same name.","We found a directory with the same name."
"We cannot find a directory with this name.","We cannot find a directory with this name."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Theme isn't deletable.","Theme isn't deletable."
"Exception message","Exception message"
"localized exception","localized exception"
"Message","Poruka"
"Test Label","Test Label"
"Phrase","Phrase"
"testMessage","testMessage"
"Edit","Izmeni"
"View","View"
"thumbnail","thumbnail"
"We found no files.","We found no files."
"Browse Files","Browse Files"
"Scope:","Scope:"
"Remove","Ukloni"
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Welcome, %1!","Welcome, %1!"
"Toggle Nav","Toggle Nav"
"Loading...","Loading..."
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
"Local Storage seems to be disabled in your browser.","Local Storage seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 stavka"
"%1 Item(s)","%1 Item(s)"
"Page","Page"
"Previous","Prethodni"
"Skip to page %1","Skip to page %1"
"You're currently reading page","You're currently reading page"
"Next","Sledeće"
"Show","Prikaži"
"per page","po stranici"
"About the calendar","O kalendaru"
"Close","Zatvori"
"Go Today","Idem danas"
"WK","WK"
"Time","Vreme"
"Hour","Sat"
"Minute","Minut"
"The store will not work correctly in the case when cookies are disabled.","The store will not work correctly in the case when cookies are disabled."
"%name,","%naziv,"
"Welcome to %store_name.","Dobrodošli u %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Da biste se prijavili na naš sajt, koristite ove akreditive tokom provere ili na stranici <a href=""%customer_url"">Moj račun</a>:"
"Email:","E-mail:"
"Password:","Lozinka:"
"Password you set when creating account","Lozinka koju ste postavili prilikom kreiranja naloga"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zaboravili ste lozinku svog naloga? Kliknite <a href=""%reset_url""> ovde</a> da biste poništili to."
"When you sign in to your account, you will be able to:","Kada se prijavite na svoj nalog, moći ćete da:"
"Proceed through checkout faster","Nastavite brže kroz proveru"
"Check the status of orders","Proverite status porudžbine"
"View past orders","Vidi sve porudžbine"
"Store alternative addresses (for shipping to multiple family members and friends)","Store alternative addresses (for shipping to multiple family members and friends)"
"We could not detect a size.","Nismo mogli otkriti veličinu."
"We don't recognize this file extension.","We don't recognize this file extension."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","Prazno"
"1 column","1 column"
"Configuration","Konfiguracija"
"Move JS code to the bottom of the page","Move JS code to the bottom of the page"
"Use CSS critical path","Use CSS critical path"
"<strong class=""colorRed"">Warning!</strong> Be sure that you have critical.css file for your theme. Other CSS files will be loaded asynchronously.","<strong class=""colorRed"">Warning!</strong> Be sure that you have critical.css file for your theme. Other CSS files will be loaded asynchronously."
"Default welcome msg!","Default welcome msg!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","Design Config Grid"
"Rebuild design config grid index","Rebuild design config grid index"
"Admin empty","Admin empty"
"Admin 1column","Admin 1column"
"Admin 2 columns with left bar","Admin 2 columns with left bar"
"Theme Information","Theme Information"
"Other Settings","Druge postavke"
"HTML Head","HTML Head"
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"Favicon Icon","Favicon Icon"
"Default Page Title","Default Page Title"
"Page Title Prefix","Page Title Prefix"
"Page Title Suffix","Page Title Suffix"
"Default Meta Description","Default Meta Description"
"Default Meta Keywords","Default Meta Keywords"
"This will be included before head closing tag in page HTML.","This will be included before head closing tag in page HTML."
"Scripts and Style Sheets","Scripts and Style Sheets"
"Display Demo Store Notice","Display Demo Store Notice"
"Header","Zaglavlje"
"Logo Image","Logo Image"
"Logo Attribute Width","Logo Attribute Width"
"Logo Attribute Height","Logo Attribute Height"
"Welcome Text","Welcome Text"
"Logo Image Alt","Logo Image Alt"
"Translate Title","Translate Title"
"Footer","Podnožje stranice"
"This will be displayed just before the body closing tag.","This will be displayed just before the body closing tag."
"Miscellaneous HTML","Miscellaneous HTML"
"Copyright","Copyright"
"Display Report Bugs Link","Display Report Bugs Link"
"Default Robots","Default Robots"
"Edit custom instruction of robots.txt File","Edit custom instruction of robots.txt File"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","This action will delete your custom instructions and reset robots.txt file to system's default settings."
"Reset To Defaults","Reset To Defaults"
"Website","Web sajt"
"Store","Prodavnica"
"Store View","Prikaz prodavnice"
"ID","ID"
"Skip to Content","Skip to Content"
"Menu","Meni"
"Account","Nalog"
"Settings","Podešavanja"
"2 columns with left bar","2 columns with left bar"
"2 columns with right bar","2 columns with right bar"
"3 columns","3 columns"
