"Back","Vissza"
"Save and Continue","Mentés és folytatás"
"Save Configuration","Beállítások mentése"
"%1","%1"
"Default","Alapértelmezett"
"Themes","Témák"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Are you sure you want to delete this theme?","Biztosan törölni akarod ezt a témát?"
"Theme: %1","Téma: %1"
"New Theme","Új téma"
"Theme CSS","Téma CSS"
"Theme CSS Assets","Téma CSS eszközei"
"Custom CSS","Egyéni CSS"
"Select CSS File to Upload","Válassza ki a feltöltendő CSS file-t"
"Upload CSS File","CSS file feltöltése"
"Download CSS File","CSS file letöltése"
"Manage","Kezelés"
"Upload Images","Képek feltöltése"
"Images Assets","Kép eszközök"
"Upload Fonts","Betűtípus feltöltése"
"Fonts Assets","Szöveg eszközök"
"Edit custom.css","Custom.css szerkesztése"
"Allowed file types *.css.","Engedélyezett file típusok *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","This file will replace the current custom.css file and can't be more than 2 MB."
"Max file size to upload %1M","Maximálisan feltölthető file méret %1M"
"Something is wrong with the file upload settings.","Hiba történt a fájl feltöltési beállításokkal."
"CSS Editor","CSS szerkesztő"
"Theme Settings","Téma beállítások"
"Parent Theme","Fölérendelt téma"
"Theme Path","Téma elérési útja"
"Theme Title","Téma címe"
"Theme Preview Image","Téma előnézeti kép"
"General","Általános"
"Copy of %1","%1 másolata"
"Max image size %1M","Maximális képméret %1M"
"Theme JavaScript","JavaScript téma"
"Select JS Files to Upload","Válassza ki a feltöltendő JS fájlt"
"Upload JS Files","JS file feltöltése"
"JS Editor","JS szerkesztő"
"Allowed file types *.js.","Engedélyezett file típusok *.js."
"Theme","Téma"
"Media Storage","Médiatár"
"Create Folder","Mappa létrehozása"
"Delete Folder","Mappa törlése"
"Delete File","Fájl törlése"
"Insert File","Fájl beszúrása"
"New Folder Name:","Új mappanév:"
"Are you sure you want to delete this folder?","Biztosan törölni akarod ezt a mappát?"
"Are you sure you want to delete this file?","Biztosan törölni akarod ezt a fájlt?"
"Storage Root","Gyökér könyvtár"
"welcome","üdvözöljük"
"Global","Globális"
"Design Configuration","Design-konfiguráció"
"You saved the configuration.","Beállítások elmentve."
"Something went wrong while saving this configuration:","Hiba történt a beállítás mentése közben:"
"You deleted the theme.","A Témát törölte."
"We cannot delete the theme.","A Téma nem törölhető."
"File not found: ""%1"".","Fájl nem található: ""%1""."
"We can't find file.","We can't find file."
"We cannot find theme ""%1"".","""%1"" Téma nem található."
"We cannot find the theme.","Téma nem található."
"This theme is not editable.","Ez a Téma nem módosítható."
"You saved the theme.","A Témát elmentette."
"We can't upload the CSS file right now.","We can't upload the CSS file right now."
"We cannot find a theme with id ""%1"".","A ""%1"" azonosítójú Téma nem található."
"We can't upload the JS file right now.","We can't upload the JS file right now."
"Sorry, something went wrong. That's all we know.","Sorry, something went wrong. That's all we know."
"Invalid type","Érvénytelen típus"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 does not contain field '%2'"
"Invalid regular expression: ""%1"".","Invalid regular expression: ""%1""."
"%1 does not contain field 'file'","%1 does not contain field 'file'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","címke"
"-- Please Select --","-- Kérem válasszon --"
"The start date can't follow the end date.","The start date can't follow the end date."
"The date range for this design change overlaps another design change for the specified store.","The date range for this design change overlaps another design change for the specified store."
"Copy","Másolás"
"Theme id should be set","Theme id should be set"
"Circular-reference in theme inheritance detected for ""%1""","Circular-reference in theme inheritance detected for ""%1"""
"The CSS file must be less than %1M.","The CSS file must be less than %1M."
"The JS file must be less than %1M.","The JS file must be less than %1M."
