"Url","URL"
"Title","Titel"
"Description","Beskrivelse"
"Preview Image","Preview Image"
"Get Video Information","Get Video Information"
"Hide from Product Page","Skjul på produktsiden"
"Role","Rolle"
"YouTube and Vimeo supported.","YouTube og Vimeo support."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first."
"Protocol isn't allowed","Protocol isn't allowed"
"Disallowed file type.","Disallowed file type."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Add Video","Tilføj video"
"Browse to find or drag image here","Gennemse for at finde eller træk billedet hertil"
"Delete video","Slet video"
"Delete image","Slet billede"
"Hidden","Skjult"
"Alt Text","Alternativ tekst"
"Image Size","Billedestørrelse"
"{size}","{size}"
"Image Resolution","Billedopløsning"
"{width}^{height} px","{width} ^{height} px"
"Title:","Titel:"
"Uploaded:","Uploadet:"
"Uploader:","Uploader:"
"Duration:","Varighed:"
"Video Error","Videofejl"
"Unknown video type","Ukendt video type"
"Invalid video url","Ugyldig video url"
"Youtube API key is invalid","YouTube API-nøgle er ugyldig"
"Video cant be shown due to the following reason: ","Videoen kan ikke vises på grund af følgende årsag: "
"Video not found","Video not found"
"New Video","Ny video"
"Save","Gem"
"Cancel","Annuller"
"Delete","Slet"
"Edit Video","Rediger Video"
"Images and Videos","Billeder og videoer"
"Product Video","Produkt Video"
"YouTube API Key","YouTube API-nøgle"
"Autostart base video","Autostart base video"
"Show related video","Show related video"
"Auto restart video","Auto restart video"
"Images And Videos","Images And Videos"
"Click here to add videos.","Click here to add videos."
"Add video","Add video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Delete image in all store views","Delete image in all store views"
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
