"Url","URL"
"Title","Pealkiri"
"Description","Kirjeldus"
"Preview Image","Preview Image"
"Get Video Information","Küsi Video teavet"
"Hide from Product Page","Hide from Product Page"
"Role","Roll"
"YouTube and Vimeo supported.","YouTube and Vimeo supported."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first."
"Protocol isn't allowed","Protocol isn't allowed"
"Disallowed file type.","Disallowed file type."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Add Video","Add Video"
"Browse to find or drag image here","Otsige üles või lohistage pilt siia"
"Delete video","Delete video"
"Delete image","Kustuta pilt"
"Hidden","Peidetud"
"Alt Text","Alt tekst"
"Image Size","Pildi suurus"
"{size}","{size}"
"Image Resolution","Pildi resolutsioon"
"{width}^{height} px","{width}^{height} px"
"Title:","Title:"
"Uploaded:","Uploaded:"
"Uploader:","Uploader:"
"Duration:","Duration:"
"Video Error","Video Error"
"Unknown video type","Unknown video type"
"Invalid video url","Invalid video url"
"Youtube API key is invalid","Youtube API key is invalid"
"Video cant be shown due to the following reason: ","Video cant be shown due to the following reason: "
"Video not found","Video not found"
"New Video","Uus Video"
"Save","Salvesta"
"Cancel","Tühista"
"Delete","Kustuta"
"Edit Video","Edit Video"
"Images and Videos","Pildid ja videod"
"Product Video","Product Video"
"YouTube API Key","YouTube API Key"
"Autostart base video","Autostart base video"
"Show related video","Show related video"
"Auto restart video","Auto restart video"
"Images And Videos","Images And Videos"
"Click here to add videos.","Click here to add videos."
"Add video","Add video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Delete image in all store views","Delete image in all store views"
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
