"Url","عنوان Url"
"Title","العنوان"
"Description","الوصف"
"Preview Image","معاينة الصورة"
"Get Video Information","الحصول على معلومات الفيديو"
"Hide from Product Page","إخفاء من صفحة المنتج"
"Role","دور"
"YouTube and Vimeo supported.","YouTube و Vimeo مدعومين."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first."
"Protocol isn't allowed","Protocol isn't allowed"
"Disallowed file type.","Disallowed file type."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Add Video","إضافة فيديو"
"Browse to find or drag image here","استعرض للبحث أو اسحب الصورة هنا"
"Delete video","حذف الفيديو"
"Delete image","حذف الصورة"
"Hidden","مخفي"
"Alt Text","النص البديل"
"Image Size","حجم الصورة"
"{size}","{size}"
"Image Resolution","دقة الصورة"
"{width}^{height} px","{width} ^{height} px"
"Title:","العنوان:"
"Uploaded:","تم الرفع:"
"Uploader:","Uploader:"
"Duration:","المدة:"
"Video Error","Video Error"
"Unknown video type","Unknown video type"
"Invalid video url","Invalid video url"
"Youtube API key is invalid","Youtube API key is invalid"
"Video cant be shown due to the following reason: ","Video cant be shown due to the following reason: "
"Video not found","Video not found"
"New Video","New Video"
"Save","حفظ"
"Cancel","إلغاء"
"Delete","احذف"
"Edit Video","Edit Video"
"Images and Videos","الصور وملفات الفيديو"
"Product Video","Product Video"
"YouTube API Key","YouTube API Key"
"Autostart base video","Autostart base video"
"Show related video","Show related video"
"Auto restart video","Auto restart video"
"Images And Videos","Images And Videos"
"Click here to add videos.","Click here to add videos."
"Add video","Add video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Delete image in all store views","Delete image in all store views"
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
