"Url","Osoite"
"Title","Otsikko"
"Description","Kuvaus"
"Preview Image","Esikatselukuva"
"Get Video Information","Hae videon tiedot"
"Hide from Product Page","Piilota tuotesivulta"
"Role","Rooli"
"YouTube and Vimeo supported.","YouTube ja Vimeo ovat tuettuja."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo on tuettu.<br />YouTube videon lisäämiseksi <a href=""%1"">syötä YouTube API avain</a> ensin."
"Protocol isn't allowed","Protocol isn't allowed"
"Disallowed file type.","Disallowed file type."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Add Video","Lisää video"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete video","Poista video"
"Delete image","Poista kuva"
"Hidden","Piilotettu"
"Alt Text","Alt teksti"
"Image Size","Kuvan koko"
"{size}","{size}"
"Image Resolution","Kuvan resoluutio"
"{width}^{height} px","{width}^{height} px"
"Title:","Title:"
"Uploaded:","Lähetetty:"
"Uploader:","Lähettäjä:"
"Duration:","Kesto:"
"Video Error","Video Error"
"Unknown video type","Tuntematon videotyyppi"
"Invalid video url","Virheellinen videon URL-osoite"
"Youtube API key is invalid","Youtube API key is invalid"
"Video cant be shown due to the following reason: ","Video cant be shown due to the following reason: "
"Video not found","Video not found"
"New Video","Uusi video"
"Save","Tallenna"
"Cancel","Peruuta"
"Delete","Poista"
"Edit Video","Muokkaa videota"
"Images and Videos","Kuvat ja videot"
"Product Video","Product Video"
"YouTube API Key","YouTube API-avain"
"Autostart base video","Autostart base video"
"Show related video","Show related video"
"Auto restart video","Auto restart video"
"Images And Videos","Images And Videos"
"Click here to add videos.","Click here to add videos."
"Add video","Add video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Delete image in all store views","Poista kuva kaikista kauppanäkymistä"
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
