"Url","URL"
"Title","Název"
"Description","Popis"
"Preview Image","Náhledový obrázek"
"Get Video Information","Získat údaje videa"
"Hide from Product Page","Skrýt na stránce produktu"
"Role","Role"
"YouTube and Vimeo supported.","Podporováno YouTube a Vimeo."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo je podporováno.<br />Před vložením YouTube videa zadejte nejdříve <a href=""%1"">YouTube API klíč</a>."
"Protocol isn't allowed","Protokol není povolen"
"Disallowed file type.","Disallowed file type."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Add Video","Přidat Video"
"Browse to find or drag image here","Procházet počítač nebo obrázek přetáhněte sem"
"Delete video","Odstranit video"
"Delete image","Odstranit obrázek"
"Hidden","Skrytý"
"Alt Text","Alternativní text"
"Image Size","Velikost obrázku"
"{size}","{size}"
"Image Resolution","Rozlišení obrázku"
"{width}^{height} px","{width}^{height} px"
"Title:","Název:"
"Uploaded:","Nahráno:"
"Uploader:","Nahrál:"
"Duration:","Délka:"
"Video Error","Chyba videa"
"Unknown video type","Neznámý typ videa"
"Invalid video url","Neplatná URL adresa videa"
"Youtube API key is invalid","YouTube API klíč je neplatný"
"Video cant be shown due to the following reason: ","Video nelze zobrazit z těchto důvodů: "
"Video not found","Video nebylo nalezeno"
"New Video","Nové video"
"Save","Uložit"
"Cancel","Zrušit"
"Delete","Smazat"
"Edit Video","Upravit video"
"Images and Videos","Obrázky a videa"
"Product Video","Video produktu"
"YouTube API Key","YouTube API klíč"
"Autostart base video","Autostart základního videa"
"Show related video","Zobrazit související video"
"Auto restart video","Automatický restart videa"
"Images And Videos","Images And Videos"
"Click here to add videos.","Klikněte zde pro přidání videí."
"Add video","Přidat video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Delete image in all store views","Delete image in all store views"
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
