"Url","כתובת Url"
"Title","כותרת"
"Description","תיאור"
"Preview Image","תמונה מקדימה"
"Get Video Information","לקבל מידע עבור וידאו"
"Hide from Product Page","הסתר מעמוד מוצר"
"Role","תפקיד"
"YouTube and Vimeo supported.","YouTube ו- Vimeo נתמכים."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","וימאו נתמך.<br> על מנת להוסיף סרטון יוטיוב, ראשית <a href='%1'>נא להוסיף מפתח מפתחים עבור יוטיוב</a>."
"Protocol isn't allowed","פרוטוקול אינו מותר"
"Disallowed file type.","Disallowed file type."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Add Video","הוספת וידאו"
"Browse to find or drag image here","עיין כדי למצוא או גרור תמונה לכאן"
"Delete video","מחק וידאו"
"Delete image","מחק תמונה"
"Hidden","מוסתר"
"Alt Text","טקסט Alt"
"Image Size","גודל תמונה"
"{size}","{size}"
"Image Resolution","רזולוציית תמונה"
"{width}^{height} px","{width} ^{height} פיקסלים"
"Title:","כותרת:"
"Uploaded:","Uploaded:"
"Uploader:","Uploader:"
"Duration:","משך:"
"Video Error","שגיאת וידאו"
"Unknown video type","סוג וידאו לא ידוע"
"Invalid video url","קישור וידאו לא תקין"
"Youtube API key is invalid","מפתח API של YouTube אינו חוקי"
"Video cant be shown due to the following reason: ","Video cant be shown due to the following reason: "
"Video not found","Video not found"
"New Video","וידאו חדש"
"Save","שמור"
"Cancel","ביטול"
"Delete","מחק"
"Edit Video","עריכת וידאו"
"Images and Videos","וידיאו ותמונות"
"Product Video","Product Video"
"YouTube API Key","מזהה YouTube API"
"Autostart base video","Autostart base video"
"Show related video","Show related video"
"Auto restart video","Auto restart video"
"Images And Videos","Images And Videos"
"Click here to add videos.","Click here to add videos."
"Add video","Add video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Delete image in all store views","Delete image in all store views"
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
