"Url","URL"
"Title","Titel"
"Description","Omschrijving"
"Preview Image","Afbeelding bekijken"
"Get Video Information","Video-informatie krijgen"
"Hide from Product Page","Verbergen van product pagina"
"Role","Rol"
"YouTube and Vimeo supported.","YouTube en Vimeo worden ondersteund."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo wordt ondersteund.<br />Om YouTube-video's toe te voegen, moet je eerst <a href=""%1"">YouTube API-key</a> invoeren."
"Protocol isn't allowed","Protocol is niet toegestaan"
"Disallowed file type.","Disallowed file type."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Add Video","Video toevoegen"
"Browse to find or drag image here","Bladeren om de afbeelding te vinden of sleep de afbeelding hierheen"
"Delete video","Video verwijderen"
"Delete image","Verwijder afbeelding"
"Hidden","Verborgen"
"Alt Text","Alt-tekst"
"Image Size","Afbeeldingsgrootte"
"{size}","{size}"
"Image Resolution","Afbeeldingresolutie"
"{width}^{height} px","{width} ^{height} px"
"Title:","Titel:"
"Uploaded:","Geüpload:"
"Uploader:","Uploader:"
"Duration:","Duur:"
"Video Error","Fout in video"
"Unknown video type","Onbekend type video"
"Invalid video url","Ongeldige video url"
"Youtube API key is invalid","YouTube API-sleutel is ongeldig"
"Video cant be shown due to the following reason: ","Video kan niet getoond worden vanwege: "
"Video not found","Video niet gevonden"
"New Video","Nieuwe Video"
"Save","Opslaan"
"Cancel","Annuleer"
"Delete","Verwijder"
"Edit Video","Video bewerken"
"Images and Videos","Afbeeldingen en video's"
"Product Video","Productvideo"
"YouTube API Key","YouTube API-sleutel"
"Autostart base video","Start basisvideo automatisch"
"Show related video","Toon verwante video"
"Auto restart video","Video automatisch herstarten"
"Images And Videos","Images And Videos"
"Click here to add videos.","Click here to add videos."
"Add video","Add video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Delete image in all store views","Verwijder afbeelding in alle winkelzichten"
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
