"Url","URL-адрес"
"Title","Заголовок"
"Description","Описание"
"Preview Image","Превью"
"Get Video Information","Загрузить информацию о видео"
"Hide from Product Page","Скрыть со страницы товара"
"Role","Роль"
"YouTube and Vimeo supported.","Поддерживаются YouTube и Vimeo."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Поддерживается Vimeo.<br />Чтобы добавить видео из YouTube, пожалуйста, <a href=""%1"">укажите ключ YouTube API</a>."
"Protocol isn't allowed","Protocol isn't allowed"
"Disallowed file type.","Disallowed file type."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Add Video","Добавить видео"
"Browse to find or drag image here","Найдите или перетащите изображение здесь"
"Delete video","Удалить видео"
"Delete image","Удалить изображение"
"Hidden","Скрытое"
"Alt Text","Замещающий текст"
"Image Size","Размер изображения"
"{size}","{size}"
"Image Resolution","Разрешение изображения"
"{width}^{height} px","{width}^{height} px"
"Title:","Заголовок:"
"Uploaded:","Загружено:"
"Uploader:","Автор:"
"Duration:","Длительность:"
"Video Error","Video Error"
"Unknown video type","Unknown video type"
"Invalid video url","Неверный URL-адрес видео"
"Youtube API key is invalid","Некорректный ключ YouTube API"
"Video cant be shown due to the following reason: ","Видео не может быть показано по следующей причине: "
"Video not found","Видео не найдено"
"New Video","Новое видео"
"Save","Сохранить"
"Cancel","Отмена"
"Delete","Удалить"
"Edit Video","Редактировать видео"
"Images and Videos","Изображения и видео"
"Product Video","Product Video"
"YouTube API Key","Ключ YouTube API"
"Autostart base video","Автозапуск главного видео"
"Show related video","Показывать связанные видео"
"Auto restart video","Автоматический перезапуск видео"
"Images And Videos","Изображения и видео"
"Click here to add videos.","Click here to add videos."
"Add video","Add video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Delete image in all store views","Delete image in all store views"
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
