"Url","URL"
"Title","タイトル"
"Description","概要"
"Preview Image","プレビュー画像"
"Get Video Information","ビデオ情報取得"
"Hide from Product Page","商品ページから隠す"
"Role","権限"
"YouTube and Vimeo supported.","YouTubeとビデオはサポートされます"
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeoがサポートされています。<br />YouTube ビデオを追加するには, まず <a href=""%1"">YouTube API キー入力</a> してください。"
"Protocol isn't allowed","プロトコルは許可されていません"
"Disallowed file type.","許可しないファイルタイプ"
"Could not get preview image information. Please check your connection and try again.","プレビュー画像情報を得られませんでした。 接続を確認して再度お試し下さい。"
"Add Video","ビデオ追加"
"Browse to find or drag image here","ブラウズして探すか画像をここにドラッグしてください"
"Delete video","ビデオ削除"
"Delete image","画像削除"
"Hidden","隠し"
"Alt Text","Alt テキスト"
"Image Size","画像サイズ"
"{size}","{size}"
"Image Resolution","画像解像度"
"{width}^{height} px","{width}^{height} px"
"Title:","表題:"
"Uploaded:","アップロード済み:"
"Uploader:","アップローダー:"
"Duration:","長さ:"
"Video Error","ビデオエラー"
"Unknown video type","不明なビデオタイプ"
"Invalid video url","無効なビデオ url"
"Youtube API key is invalid","Youtube API キーは無効です"
"Video cant be shown due to the following reason: ","以下の理由によりビデオが見つかりません: "
"Video not found","ビデオが見つかりません"
"New Video","新規ビデオ"
"Save","保存"
"Cancel","キャンセル"
"Delete","削除"
"Edit Video","ビデオ編集"
"Images and Videos","画像と動画"
"Product Video","商品ビデオ"
"YouTube API Key","YouTube API キー"
"Autostart base video","自動スタートベースビデオ"
"Show related video","関連するビデオを表示"
"Auto restart video","自動再スタートビデオ"
"Images And Videos","画像とビデオ"
"Click here to add videos.","動画を追加するため、ここをクリックしてください。"
"Add video","動画を追加"
"Click here or drag and drop to add images.","ベース作成"
"Make Base","ベース作成"
"Delete image in all store views","全てのストアビューで画像を削除する"
"The preview image information is unavailable. Check your connection and try again.","プレビュー画像情報は利用できません。 接続を確認して、再度お試し下さい。"
