"Reimburse Balance","Rambursare sold"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","Sigur doriți să anulați acest ordin? Suma comenzii nu va fi returnată la %1 deoarece firma nu este activă."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","Sigur doriți să anulați această comandă? Suma comenzii nu va fi returnată la %1 deoarece firma asociată cu acest client nu există."
"Page not found.","Pagina nu a fost găsită."
"Something went wrong. Please try again later.","S-a întâmplat ceva, încercați din nou mai târziu!"
"History record no longer exists.","Înregistrarea istoricului nu mai există."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","Nu se pot recupera ratele de schimb valutar în acest moment. Vă rugăm să încercați din nou mai târziu sau contactați administratorul magazinului."
"A total of %1 record(s) were updated.","Un total de %1 înregistrări au fost actualizate."
"Unable to convert company credit. Please try again later or contact store administrator.","Nu s-a putut converti creditul companiei. Încercați din nou mai târziu sau contactați administratorul magazinului."
"Company Credit","Credit firmă"
"Order Payment should be provided","Comanda de plată trebuie să fie furnizată"
"Order is canceled. We reverted %1 to the company credit.","Ordinul este anulat. Am revenit la %1 în creditul companiei."
"Order is canceled. The order amount is not reverted to the company credit.","Ordinul este anulat. Valoarea comenzii nu este revenită la creditul companiei."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","Ordinul este anulat. Suma comenzii nu se întoarce la creditul companiei deoarece firma din care face parte acest client nu există."
"unavailable.","indisponibil"
"We can't save the credit memo because the company associated with this customer does not exist.","Nu putem salva nota de credit deoarece compania asociată cu acest client nu există."
"We can't save the credit memo because the company associated with customer is not active.","Nu putem salva nota de credit deoarece compania asociată cu clientul nu este activă."
"Yes","Da"
"No","Nu"
"The requested Payment Method is not available.","Modalitatea de Plată solicitată nu este disponibilă"
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Plata în cont nu poate fi folosită pentru această comandă deoarece suma comenzii dumneavoastră depășește suma de credit."
"Cannot process the request. Please check the operation type and try again.","Cererea nu poate fi procesată. Verificați tipul de operațiune și încercați din nou."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Valoare atribut invalid. ID rând: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","„%fieldName” este necesar. Introduceți și încercați din nou."
"The selected currency is not available. Please select a different currency.","Moneda selectată nu este disponibilă. Vă rugăm să selectați o altă monedă."
"Could not update history","Istoricul nu poate fi actualizat"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","Compania solicitată nu a fost găsită. ID-ul rând: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","Nu se poate șterge limita de credit cu id %1"
"Allocated","Alocat"
"Updated","Actualizat"
"Purchased","Achiziționat"
"Reimbursed","Rambursat"
"Refunded","Restituit"
"Reverted","Înapoiată"
"Could not save history","Istoricul nu a putut fi salvat"
"Cannot delete history with id %1","Nu se poate șterge istoricul cu id %1"
"No such entity with %fieldName = %fieldValue","Nicio astfel de entitate cu %fieldName = %fieldValue"
"Could not save company credit limit","Nu s-a putut salva limita de credit a companiei"
"Invalid value of ""%value"" provided for the %fieldName field.","Valoare nevalidă pentru ""%value"" furnizată pentru câmpul %fieldname."
"Please enter a valid %1/%2 currency rate.","Te rog introdu o rata valutara valida %1/%2."
"Invoice created for %1","Factură creată pentru %1"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","Moneda de credit selectată nu este validă. 
                        Clienții nu vor putea plasa comenzile până când nu actualizați valuta creditului."
"Store Credit","Credit magazin"
"Refund to Company Credit","Rambursare la creditul companiei"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","Pentru aceasta comanda nu se poate emite o factură pentru cantitățile parțiale. Pentru a continua, schimbați cantitatea specificata cu cantitatea completa."
"We refunded %1 online.","Am rambursat %1 online."
"We refunded %1 offline.","Am rambursat %1 off line."
"We refunded %1 to the company credit.","Am rambursat %1 creditului companiei."
"Exception message.","Mesaj de excepție."
"Exception Message","Mesaj de excepție"
"No such entity","Nu există o astfel de entitate"
"Edit","Editați"
"%1 made an update. %2 can exceed the Credit Limit.","%1 A făcut o actualizare. %2 Poate depăși Limita de credit."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 A făcut o actualizare. %2 nu poate depăși limita de credit."
"Order # %1","Comanda # %1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 A schimbat moneda de credit de la %2 la %3 la rata de conversie de %2/%3 %4."
"Outstanding Balance:","Soldul restant:"
"Available Credit:","Credite Disponibile:"
"Credit Limit:","Limita de credit:"
"Purchase Order Number","Numărul comenzii de cumpărare"
"Charged off the company credit: %1","Din creditul firmei: %1"
