"Admin Actions Log Archive","Pääkäyttäjän toimintojen lokiarkisto"
"Back","Takaisin"
"Log Entry #%1","Lokimerkintä #%1"
"Log Entry Details","Lokimerkinnän tiedot"
"Source Data","Lähdetiedot"
"Value Before Change","Arvo ennen muutosta"
"Value After Change","Value After Change"
"No changes","Ei muutoksia"
"The item was deleted","Kohde poistettiin"
"N/A","Ei tietoa"
"All Users","Kaikki käyttäjät"
"Admin Actions Log","Pääkäyttäjän toimintojen loki"
"Admin Actions Archive","Admin Actions Archive"
"Report","Report"
"label","tunniste"
"actions' 'label","actions' 'label"
"%1 & applied","%1 & applied"
"Tax Rates Import","Tax Rates Import"
"Attributes Updated","Attributes Updated"
"Currency Rates Saved","Valuuttakurssit tallennettu"
"Cache types: %1 ","Välimuistin tyypit: %1 "
"Tax Rates Export","Verokantojen vienti"
"Unknown callback function: %1::%2","Unknown callback function: %1::%2"
"You need more permissions to access this.","You need more permissions to access this."
"Success","Onnistui"
"Failure","Failure"
"Daily","Päivittäinen"
"Weekly","Viikottain"
"Monthly","Kuukausittain"
"This user is locked","This user is locked"
"Admin User Data","Admin User Data"
"Aggregated Information","Aggregated Information"
"Admin User ID","Admin User ID"
"Admin User Name","Admin User Name"
"IP-Address","IP-osoite"
"X-Forwarded For","X-Forwarded For"
"Error Message","Virhesanoma"
"Related Changes","Related Changes"
"Logging","Logging"
"Action Log","Toimintaloki"
"Archive","Arkisto"
"Action Logs","Tapahtumalokit"
"Admin Actions Log Archiving","Admin Actions Log Archiving"
"Log Entry Lifetime, Days","Log Entry Lifetime, Days"
"Log Archiving Frequency","Log Archiving Frequency"
"Admin Actions Logging","Admin Actions Logging"
"Enabled Actions","Enabled Actions"
"1","1"
"View","Katso"
"Save","Tallenna"
"Delete","Poista"
"Mass Delete","Mass Delete"
"Export","Vie"
"Import","Tuo"
"Edit","Muokkaa"
"Mass Update","Massapäivitys"
"Move","Siirrä"
"New","Uusi"
"Forgot Password","Salasana unohtunut"
"Global Search","Globaali haku"
"Apply","Käytä"
"Reorder","Tilaa uudelleen"
"Print","Tulosta"
"Email","Sähköposti"
"Run","Suorita"
"Rollback","Palautus"
"Reindex Process","Reindex Process"
"Clean","Clean"
"Flush","Tyhjennä"
"Fetch","Hae"
"Update Payment","Update Payment"
"Update State","Update State"
"Login","Kirjaudu"
"Send","Lähetä"
"Create","Luo"
"Catalog Products","Catalog Products"
"Catalog Categories","Catalog Categories"
"URL Rewrites","URL-uudelleenohjaukset"
"Catalog Search","Catalog Search"
"Catalog Ratings","Catalog Ratings"
"Catalog Reviews","Catalog Reviews"
"Catalog Attributes","Tuoteluettelon attribuutit"
"Catalog Product Templates","Catalog Product Templates"
"Admin Sign In","Admin Sign In"
"CMS Pages","Sisältösivut"
"CMS Blocks","CMS-lohkot"
"Customers","Asiakkaat"
"Customer Groups","Asiakasryhmät"
"Reports","Raportit"
"System Configuration","System Configuration"
"Catalog Price Rules","Tuoteluettelon hintasäännöt"
"Cart Price Rules","Ostoskorin hintasäännöt"
"Admin My Account","Admin My Account"
"Newsletter Queue","Uutiskirjejono"
"Newsletter Templates","Uutiskirjeiden mallipohjat"
"Newsletter Subscribers","Uutiskirjeen tilaajat"
"Sales Orders","Myyntitilaukset"
"Sales Order Status","Sales Order Status"
"Sales Invoices","Myyntilaskut"
"Sales Shipments","Sales Shipments"
"Sales Credit Memos","Myynnin hyvityslaskut"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Admin Permission Roles","Admin Permission Roles"
"Admin Permission Users","Admin Permission Users"
"Manage Websites","Manage Websites"
"Manage Stores","Hallinnoi kauppoja"
"Manage Store Views","Hallinnoi kauppanäkymiä"
"Manage Design","Ulkoasun hallinta"
"Manage Currency Rates","Hallitse valuuttakursseja"
"Transactional Emails","Transaktioihin liittyvät sähköpostit"
"Custom Variables","Muokatut muuttujat"
"System Backups","System Backups"
"Customer Tax Classes","Asiakkaan veroluokat"
"Catalog Product Tax Classes","Catalog Product Tax Classes"
"Tax Rules","Verosäännöt"
"Tax Rates","Veroprosentit"
"XML Sitemap","XML-sivukartta"
"Widget","Widget"
"Cache Management","Välimuistin hallinta"
"PayPal Settlement Reports","PayPal-maksujen raportit"
"Archive File","Archive File"
"Date","Päivämäärä"
"CSV","CSV"
"Excel XML","Excel XML"
"Time","Aika"
"Action Group","Action Group"
"Action","Toiminto"
"IP Address","IP-osoite"
"Username","Käyttäjätunnus"
"Result","Tulos"
"Full Action Name","Full Action Name"
"Details","Yksityiskohdat"
"Full Details","Täydet tiedot"
"Index Management","Index Management"
"More permissions are needed to access this.","More permissions are needed to access this."
"Bulk Actions","Bulk Actions"
