"Admin Actions Log Archive","Administratora Darbību Žurnāla Arhīvs"
"Back","Atpakaļ"
"Log Entry #%1","Log Entry #%1"
"Log Entry Details","Log Entry Details"
"Source Data","Source Data"
"Value Before Change","Value Before Change"
"Value After Change","Value After Change"
"No changes","No changes"
"The item was deleted","The item was deleted"
"N/A","N/A"
"All Users","Visi lietotāji"
"Admin Actions Log","Admin Actions Log"
"Admin Actions Archive","Admin Actions Archive"
"Report","Atskaite"
"label","birka"
"actions' 'label","actions' 'label"
"%1 & applied","%1 & applied"
"Tax Rates Import","Tax Rates Import"
"Attributes Updated","Attributes Updated"
"Currency Rates Saved","Currency Rates Saved"
"Cache types: %1 ","Cache types: %1 "
"Tax Rates Export","Tax Rates Export"
"Unknown callback function: %1::%2","Unknown callback function: %1::%2"
"You need more permissions to access this.","You need more permissions to access this."
"Success","Success"
"Failure","Failure"
"Daily","Katru dienu"
"Weekly","Katru nedēļu"
"Monthly","Katru mēnesi"
"This user is locked","This user is locked"
"Admin User Data","Admin User Data"
"Aggregated Information","Aggregated Information"
"Admin User ID","Admin User ID"
"Admin User Name","Admin User Name"
"IP-Address","IP-Address"
"X-Forwarded For","X-Forwarded For"
"Error Message","Error Message"
"Related Changes","Related Changes"
"Logging","Logging"
"Action Log","Action Log"
"Archive","Arhīvs"
"Action Logs","Action Logs"
"Admin Actions Log Archiving","Admin Actions Log Archiving"
"Log Entry Lifetime, Days","Log Entry Lifetime, Days"
"Log Archiving Frequency","Log Archiving Frequency"
"Admin Actions Logging","Admin Actions Logging"
"Enabled Actions","Enabled Actions"
"1","1"
"View","Skatīt"
"Save","Saglabāt"
"Delete","Dzēst"
"Mass Delete","Mass Delete"
"Export","Eksportēt"
"Import","Importēt"
"Edit","Labot"
"Mass Update","Mass Update"
"Move","Move"
"New","Jauns"
"Forgot Password","Forgot Password"
"Global Search","Global Search"
"Apply","Apstiprināt"
"Reorder","Pasūtīt atkārtoti"
"Print","Drukāt"
"Email","E-pasts"
"Run","Run"
"Rollback","Iepriekšējās versijas atrite"
"Reindex Process","Reindex Process"
"Clean","Clean"
"Flush","Flush"
"Fetch","Fetch"
"Update Payment","Update Payment"
"Update State","Update State"
"Login","Lietotājvārds"
"Send","Send"
"Create","Create"
"Catalog Products","Catalog Products"
"Catalog Categories","Catalog Categories"
"URL Rewrites","URL Rewrites"
"Catalog Search","Kataloga meklēšana"
"Catalog Ratings","Catalog Ratings"
"Catalog Reviews","Catalog Reviews"
"Catalog Attributes","Catalog Attributes"
"Catalog Product Templates","Catalog Product Templates"
"Admin Sign In","Admin Sign In"
"CMS Pages","CMS Pages"
"CMS Blocks","CMS Blocks"
"Customers","Klienti"
"Customer Groups","Klientu grupas"
"Reports","Atskaites"
"System Configuration","System Configuration"
"Catalog Price Rules","Catalog Price Rules"
"Cart Price Rules","Iepirkuma groza cenu noteikumi"
"Admin My Account","Admin My Account"
"Newsletter Queue","Jaunumu izsūtīšanas rinda"
"Newsletter Templates","Jaunumu šabloni"
"Newsletter Subscribers","Jaunumu abonenti"
"Sales Orders","Sales Orders"
"Sales Order Status","Sales Order Status"
"Sales Invoices","Sales Invoices"
"Sales Shipments","Sales Shipments"
"Sales Credit Memos","Sales Credit Memos"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Admin Permission Roles","Admin Permission Roles"
"Admin Permission Users","Admin Permission Users"
"Manage Websites","Manage Websites"
"Manage Stores","Pārvaldīt veikalus"
"Manage Store Views","Manage Store Views"
"Manage Design","Manage Design"
"Manage Currency Rates","Pārvaldīt valūtas kursus"
"Transactional Emails","Transactional Emails"
"Custom Variables","Pielāgoti mainīgie"
"System Backups","System Backups"
"Customer Tax Classes","Customer Tax Classes"
"Catalog Product Tax Classes","Catalog Product Tax Classes"
"Tax Rules","Tax Rules"
"Tax Rates","Tax Rates"
"XML Sitemap","XML Sitemap"
"Widget","Logrīks"
"Cache Management","Keša pārvaldība"
"PayPal Settlement Reports","PayPal Settlement Reports"
"Archive File","Archive File"
"Date","Datums"
"CSV","CSV"
"Excel XML","Excel XML"
"Time","Laiks"
"Action Group","Action Group"
"Action","Darbība"
"IP Address","IP adrese"
"Username","Lietotājvārds"
"Result","Result"
"Full Action Name","Full Action Name"
"Details","Papildus informācija"
"Full Details","Full Details"
"Index Management","Index Management"
"More permissions are needed to access this.","More permissions are needed to access this."
"Bulk Actions","Bulk Actions"
